SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1970/1971,Bordeaux,24,3,1,695,,,,,5,,1,,,,,,29,3,2,865
1971/1972,Bordeaux,28,4,,592,,,,,,,,,,,,,28,4,,592
1972/1973,Bordeaux,22,3,,601,,,,,,,,,,,,,22,3,,601
1973/1974,Bordeaux,31,11,1,249,,,,,,,,,,,,,31,11,1,249
1974/1975,Bordeaux,36,11,,292,,,,,4,,,,1,,,,41,11,,334
1975/1976,Bordeaux,30,13,,206,,,,,1,,,,,,,,31,13,,215
1976/1977,Bordeaux,37,16,,205,,,,,4,,,,2,,,,43,16,,233
1977/1978,Bordeaux,35,11,,277,,,,,5,4,,113,1,,,,41,15,,239
1978/1979,Bordeaux,38,6,,565,,,,,3,1,,270,1,,,,42,7,,524
1979/1980,Bordeaux,37,12,,278,,,,,1,,,,,,,,38,12,,285
1980/1981,Bordeaux,34,6,,510,,,,,6,2,,248,2,,,,42,8,,467
1981/1982,Bordeaux,34,14,1,214,3,,,,7,4,,158,13,3,4,395,57,21,5,242
1982/1983,Bordeaux,35,12,,263,6,6,,95,5,1,,450,3,,,,49,19,,234
1983/1984,Bordeaux,34,16,1,188,2,1,,180,5,1,,450,10,2,3,465,51,20,4,228
1984/1985,Bordeaux,36,11,,285,8,,,,1,,,,3,,2,,48,11,2,385
1985/1986,Bordeaux,29,9,1,282,2,,,,5,1,,448,11,1,1,956,47,11,2,374
1986/1987,Marseille,34,4,,739,,,,,8,2,,330,,,,,42,6,,602
1987/1988,Marseille,33,1,,2825,7,1,,623,1,,,,,,,,41,2,,1769
