SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1985/1986,Pro Patria,,,,,,,,,,,,,,,,,,,,
1986/1987,Torino B,,,,,,,,,,,,,,,,,,,,
1987/1988,Varese,,,,,,,,,,,,,,,,,,,,
1988/1989,Varese,,,,,,,,,,,,,,,,,,,,
1989/1990,Varese,,,,,,,,,,,,,,,,,,,,
1990/1991,Varese,,,,,,,,,,,,,,,,,,,,
1991/1992,Varese,,,,,,,,,,,,,,,,,,,,
1992/1993,Catanzaro,,,,,,,,,,,,,,,,,,,,
1993/1994,Catanzaro,,,,,,,,,,,,,,,,,,,,
1994/1995,Reggiana,13,,,,,,,,,,,,,,,,13,,,
1994/1995,Catanzaro,,,,,,,,,,,,,,,,,,,,
1995/1996,Reggiana,,,,,,,,,,,,,,,,,,,,
1996/1997,Reggiana,31,,,,,,,,,,,,,,,,31,,,
1997/1998,Piacenza,30,,,,,,,,4,,,,,,,,34,,,
1998/1999,Piacenza,31,1,,2645,,,,,1,,,,,,,,32,1,,2735
1999/2000,Piacenza,21,,,,,,,,3,,,,,,,,24,,,
2000/2001,Hellas Verona,14,,,,,,,,3,1,,180,,,,,17,1,,1217
2001/2002,Hellas Verona,17,,,,,,,,2,,,,,,,,19,,,
2002/2003,Hellas Verona,29,,,,,,,,,,,,,,,,29,,,
2003/2004,Hellas Verona,39,3,,1049,,,,,,,,,,,,,39,3,,1049
2004/2005,Hellas Verona,39,,,,,,,,1,,,,,,,,40,,,
2005/2006,Hellas Verona,37,,,,,,,,,,,,,,,,37,,,
2006/2007,Hellas Verona,27,,,,,,,,,,,,,,,,27,,,
2007/2008,Lugano,,,,,,,,,1,,,,,,,,1,,,
2008/2009,Lugano,,,,,,,,,,,,,,,,,,,,
