SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1945,River Plate,1,,,,,,,,,,,,,,,,1,,,
1946,Huracán,24,10,,216,,,,,,,,,,,,,24,10,,216
1947,River Plate,30,27,,100,,,,,,,,,6,6,,77,36,33,,96
1948,River Plate,24,13,,166,,,,,,,,,,,,,24,13,,166
1949,Millonarios,13,15,2,78,,,,,,,,,,,,,13,15,2,78
1949,River Plate,11,9,,110,,,,,,,,,,,,,11,9,,110
1950,Millonarios,29,23,,113,,,,,3,6,,45,,,,,32,29,,99
1951,Millonarios,34,35,,87,,,,,,,,,,,,,34,35,,87
1952,Millonarios,,,,,,,,,,,,,,,,,,,,
1953,Millonarios,,,,,,,,,,,,,,,,,,,,
1953/1954,Real Madrid,28,27,,93,,,,,,,,,,,,,28,27,,93
1954/1955,Real Madrid,30,25,,108,,,,,,,,,,,,,30,25,,108
1955/1956,Real Madrid,30,24,,113,7,5,,126,,,,,,,,,37,29,,115
1956/1957,Real Madrid,30,31,,87,8,7,,103,3,3,,90,5,5,,90,46,46,,90
1957/1958,Real Madrid,30,19,,142,7,10,,66,7,7,,90,5,3,,150,49,39,,114
1958/1959,Real Madrid,28,23,,110,7,6,,104,8,5,,144,3,3,,90,46,37,,112
1959/1960,Real Madrid,23,12,,173,7,8,,79,5,3,,150,8,9,,80,43,32,,121
1960/1961,Real Madrid,23,21,,99,3,1,,270,9,8,,101,7,2,,315,42,32,,118
1961/1962,Real Madrid,23,11,,188,10,7,,129,8,4,,180,3,1,,270,44,23,,172
1962/1963,Real Madrid,13,12,,98,2,1,,180,9,9,,84,,,,,24,22,,96
1963/1964,Real Madrid,24,11,,196,9,5,,162,1,1,,90,,,,,34,17,,180
1964/1965,Espanyol,24,7,,306,,,,,3,2,,135,,,,,27,9,,268
1965/1966,Espanyol,23,4,,518,6,,,,4,1,,360,,,,,33,5,,594
