SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1968,Vejle,,,,,,,,,,,,,,,,,,,,
1969,Vejle,,,,,,,,,,,,,,,,,,,,
1970,Vejle,,,,,,,,,,,,,,,,,,,,
1971,Vejle,,,,,,,,,,,,,,,,,,,,
1972,Vejle,,,,,2,,,,,,,,2,2,,90,4,2,,180
1972/1973,M'gladbach,7,,,,2,,,,5,,,,,,,,14,,,
1973/1974,M'gladbach,9,2,,293,4,3,,80,1,,,,,,,,14,5,,177
1974/1975,M'gladbach,34,18,,169,8,8,,90,,,,,2,1,,159,44,27,,145
1975/1976,M'gladbach,34,16,,190,6,4,,135,,,,,2,1,,180,42,21,,179
1976/1977,M'gladbach,34,12,,253,9,2,,405,,,,,3,2,,135,46,16,,257
1977/1978,M'gladbach,31,17,,158,6,5,,108,,,,,,,,,37,22,,147
1978/1979,M'gladbach,28,11,,221,3,,,,,,,,3,1,,270,34,12,,247
1979/1980,FC Barcelona,32,10,,272,7,4,,146,2,,,,5,1,,450,46,15,,262
1980/1981,FC Barcelona,33,10,,293,2,,,,9,2,,315,6,3,,145,50,15,,278
1981/1982,FC Barcelona,33,11,,269,9,5,,161,2,,,,4,2,,176,48,18,,239
1982/1983,Charlton,,,,,,,,,,,,,3,1,,248,3,1,,248
1983,Vejle,1,1,,90,,,,,,,,,5,3,,149,6,4,,135
1984,Vejle,1,,,,,,,,,,,,6,,,,7,,,
1985,Vejle,2,,,,2,1,,180,,,,,4,,,,8,1,,585
1986,Vejle,2,1,,180,,,,,,,,,4,,,,6,1,,333
1987,Vejle,2,,,,,,,,,,,,,,,,2,,,
1988,Vejle,2,,,,,,,,,,,,,,,,2,,,
1989,Vejle,2,,,,,,,,,,,,,,,,2,,,
1990,Vejle,,,,,,,,,,,,,,,,,,,,
