SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2000/2001,Barcelona B B,10,,,,,,,,,,,,,,,,10,,,
2001/2002,Barcelona B B,25,2,,1049,,,,,5,,,,,,,,30,2,,1261
2002/2003,FC Barcelona,6,,,,3,,,,,,,,,,,,9,,,
2002/2003,Barcelona B B,9,1,,785,,,,,,,,,,,,,9,1,,785
2003/2004,FC Barcelona,9,1,,492,3,,,,3,1,,220,1,,,,16,2,,423
2004/2005,FC Barcelona,37,2,,850,8,,,,1,,,,,,,,46,2,,1065
2005/2006,FC Barcelona,33,,,,11,1,2,536,5,,,,4,,,,53,1,2,2748
2006/2007,FC Barcelona,37,6,,449,11,2,,348,8,1,,561,9,3,,194,65,12,,378
2007/2008,FC Barcelona,31,3,1,872,11,1,,813,7,,,,16,2,4,525,65,6,5,840
2008/2009,FC Barcelona,26,4,7,478,11,1,3,928,6,,1,,6,1,,493,49,6,11,628
2009/2010,FC Barcelona,29,1,2,1900,10,,2,,3,,1,,14,2,2,494,56,3,7,1266
2010/2011,FC Barcelona,34,8,3,348,10,1,6,896,6,,4,,9,1,2,592,59,10,15,472
2011/2012,FC Barcelona,27,2,8,929,11,3,1,279,8,3,1,160,13,2,4,491,59,10,14,416
2012/2013,FC Barcelona,31,3,16,697,10,1,1,803,7,2,3,307,16,,3,,64,6,23,760
2013/2014,FC Barcelona,35,3,7,826,9,,3,,8,,,,13,1,2,840,65,4,12,1131
2014/2015,FC Barcelona,24,,1,,11,,5,,7,3,1,182,4,,,,46,3,7,1053
2015/2016,FC Barcelona,28,1,2,2244,10,,1,,6,,1,,9,1,1,592,53,2,5,2046
2016/2017,FC Barcelona,23,,3,,8,1,1,590,6,,,,6,,,,43,1,4,2715
2017/2018,FC Barcelona,30,1,2,1827,8,,2,,6,1,,419,6,1,3,379,50,3,7,1081
2018,Vissel Kobe,14,3,3,360,,,,,1,,,,6,,1,,21,3,4,514
2019,Vissel Kobe,23,6,6,321,,,,,1,1,,88,,,,,24,7,6,288
2020,Vissel Kobe,26,4,6,500,7,2,3,220,3,,1,,,,,,36,6,10,439
2021,Vissel Kobe,23,6,4,267,,,,,4,1,,232,,,,,27,7,4,262
2022,Vissel Kobe,24,2,3,738,1,1,,114,2,,,,,,,,27,3,3,542
2023,Vissel Kobe,4,,,,,,,,2,,,,,,,,6,,,
2023/2024,Emirates,20,5,1,319,,,,,3,,,,,,,,23,5,1,351
