SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1978/1979,FC Köln,24,1,,2070,5,,,,2,,,,2,,,,33,1,,2880
1979/1980,FC Köln,32,9,,306,,,,,8,4,,188,7,1,,468,47,14,,284
1980/1981,FC Barcelona,23,11,,184,,,,,4,,,,4,2,,158,31,13,,204
1980/1981,FC Köln,5,,,,,,,,,,,,1,,,,6,,,
1981/1982,FC Barcelona,13,8,,138,4,2,,180,,,,,,,,,17,10,,147
1982/1983,FC Barcelona,28,7,1,344,7,5,2,131,12,2,,501,4,1,,341,51,15,3,294
1983/1984,FC Barcelona,22,7,2,268,4,1,1,315,3,2,,110,3,,,,32,10,3,268
1984/1985,FC Barcelona,32,11,,256,2,1,,180,8,6,,98,,,,,42,18,,199
1985/1986,FC Barcelona,22,10,,195,6,1,,503,4,1,,360,,,,,32,12,,234
1986/1987,FC Barcelona,,,,,,,,,,,,,,,,,,,,
1987/1988,FC Barcelona,30,9,,295,8,1,,720,8,,,,,,,,46,10,,410
1988/1989,Real Madrid,33,7,,410,8,,,,11,3,,315,,,,,52,10,,456
1989/1990,Real Madrid,28,6,,405,2,,,,6,,,,,,,,36,6,,513
1990/1991,Atlético,29,4,,623,,,,,7,1,,660,,,,,36,5,,630
1991/1992,Atlético,34,6,,490,6,4,,135,6,2,,248,,,,,46,12,,331
1992/1993,Atlético,22,1,,1892,6,,,,2,,,,,,,,30,1,,2612
1993/1994,Bayer,28,5,,477,1,1,,90,5,,,,,,,,34,6,,488
1994/1995,Bayer,23,2,,981,9,2,,405,2,1,,157,,,,,34,5,,586
1995/1996,Bayer,8,1,,584,4,,,,3,,,,,,,,15,1,,1304
1996/1997,UNAM,9,,,,,,,,,,,,,,,,9,,,
