SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1942/1943,Wolverhampton,,,,,,,,,,,,,,,,,,,,
1943/1944,Wolverhampton,,,,,,,,,,,,,,,,,,,,
1944/1945,Wolverhampton,,,,,,,,,,,,,,,,,,,,
1945/1946,Wolverhampton,,,,,,,,,4,3,,120,1,,,,5,3,,150
1946/1947,Wolverhampton,34,1,,3060,,,,,3,,,,8,,,,45,1,,4050
1947/1948,Wolverhampton,,,,,,,,,,,,,6,,,,6,,,
1948/1949,Wolverhampton,,,,,,,,,,,,,8,1,,720,8,1,,720
1949/1950,Wolverhampton,,,,,,,,,,,,,10,1,,900,10,1,,900
1950/1951,Wolverhampton,,,,,,,,,,,,,3,1,,270,3,1,,270
1951/1952,Wolverhampton,,,,,,,,,,,,,8,,,,8,,,
1952/1953,Wolverhampton,,,,,,,,,,,,,8,,,,8,,,
1953/1954,Wolverhampton,,,,,,,,,,,,,10,,,,10,,,
1954/1955,Wolverhampton,,,,,,,,,,,,,7,,,,7,,,
1955/1956,Wolverhampton,,,,,,,,,,,,,9,,,,9,,,
1956/1957,Wolverhampton,,,,,,,,,,,,,8,,,,8,,,
1957/1958,Wolverhampton,,,,,,,,,,,,,11,,,,11,,,
1958/1959,Wolverhampton,39,,,,2,,,,1,,,,9,,,,51,,,
