SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1954/1955,Man United U-23,,,,,,,,,,,,,,,,,,,,
1955/1956,Man United U-23,,,,,,,,,,,,,,,,,,,,
1956/1957,Man United,14,10,,126,1,1,,90,2,1,,180,,,,,17,12,,128
1957/1958,Man United,21,8,,236,2,3,,60,7,5,,126,3,3,,90,33,19,,156
1958/1959,Man United,38,29,,118,,,,,1,,,,8,8,,90,47,37,,114
1959/1960,Man United,37,18,,185,,,,,3,3,,90,6,2,,270,46,23,,180
1960/1961,Man United,39,21,,167,,,,,3,,,,9,8,,101,51,29,,158
1961/1962,Man United,37,8,,416,,,,,6,2,,270,12,4,,270,55,14,,354
1962/1963,Man United,28,7,,360,,,,,6,2,,270,6,5,,108,40,14,,257
1963/1964,Man United,40,9,,400,6,4,,135,8,2,,375,10,3,,285,64,18,,319
1964/1965,Man United,41,10,,369,11,8,,124,7,,,,3,1,,270,62,19,,294
1965/1966,Man United,38,16,,214,8,2,,360,8,,,,12,4,,270,66,22,,271
1966/1967,Man United,42,12,,315,,,,,2,,,,8,3,,250,52,15,,314
1967/1968,Man United,41,15,,246,9,2,,420,3,3,,100,9,5,,158,62,25,,225
1968/1969,Man United,32,5,,576,10,2,,450,6,,,,8,1,,720,56,8,,630
1969/1970,Man United,40,12,,300,,,,,17,2,,780,11,2,,445,68,16,,378
1970/1971,Man United,42,5,,756,,,,,8,3,,240,,,,,50,8,,563
1971/1972,Man United,40,8,,442,,,,,13,4,,315,,,,,53,12,,400
1972/1973,Man United,36,6,,511,,,,,5,1,,450,,,,,41,7,,503
1973/1974,Preston NE,,,,,,,,,,,,,,,,,,,,
1974/1975,Preston NE,,,,,,,,,,,,,,,,,,,,
1975/1976,Waterford,,,,,,,,,,,,,,,,,,,,
