SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1958/1959,West Ham,5,,,,,,,,,,,,,,,,5,,,
1959/1960,West Ham,13,,,,,,,,,,,,,,,,13,,,
1960/1961,West Ham,38,1,,3420,,,,,,,,,,,,,38,1,,3420
1961/1962,West Ham,41,3,,1230,,,,,,,,,6,,,,47,3,,1410
1962/1963,West Ham,41,3,,1230,,,,,,,,,9,,,,50,3,,1500
1963/1964,West Ham,37,2,,1665,,,,,1,,,,10,,,,48,2,,2160
1964/1965,West Ham,28,1,,2520,7,,,,1,,,,7,,,,43,1,,3870
1965/1966,West Ham,37,,,,6,,,,,,,,12,2,,540,55,2,,2475
1966/1967,West Ham,40,2,,1800,,,,,,,,,10,,2,,50,2,2,2265
1967/1968,West Ham,40,4,,900,,,,,,,,,10,,,,50,4,,1125
1968/1969,West Ham,41,2,,1845,,,,,6,,,,9,,,,56,2,,2520
1969/1970,West Ham,40,,,,,,,,3,,,,12,,,,55,,,
1970/1971,West Ham,39,2,1,1733,,,,,,,,,5,,,,44,2,1,1958
1971/1972,West Ham,40,,,,,,,,9,,,,7,,,,56,,,
1972/1973,West Ham,42,3,,1260,,,,,4,,,,11,,,,57,3,,1710
1973/1974,Fulham,,,,,,,,,,,,,,,,,,,,
1973/1974,West Ham,22,,,,,,,,,,,,1,,,,23,,,
1974/1975,Fulham,,,,,,,,,1,,,,,,,,1,,,
1975/1976,Fulham,,,,,,,,,,,,,,,,,,,,
1976/1977,Fulham,,,,,,,,,,,,,,,,,,,,
1978,Herning,,,,,,,,,,,,,,,,,,,,
1979,Seattle,,,,,,,,,,,,,,,,,,,,
