SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2002/2003,Sporting CP,25,3,4,359,3,,,,3,2,,86,,,,,31,5,4,280
2003/2004,Man United,29,4,4,390,5,,,,6,2,2,255,13,2,3,350,53,8,9,382
2004/2005,Man United,33,5,4,485,8,,1,,9,4,3,181,10,7,5,110,60,16,13,280
2005/2006,Man United,33,9,6,254,8,1,1,659,6,2,1,232,15,3,2,375,62,15,10,302
2006/2007,Man United,34,17,8,164,11,3,5,319,8,3,1,216,8,5,1,120,61,28,15,178
2007/2008,Man United,34,31,6,89,11,8,1,127,4,3,,120,12,4,1,259,61,46,8,112
2008/2009,Man United,33,18,6,152,14,5,3,238,6,3,1,128,7,1,,574,60,27,10,181
2009/2010,Real Madrid,29,26,7,95,6,7,1,64,,,,,11,1,3,819,46,34,11,110
2010/2011,Real Madrid,34,40,9,73,12,6,4,170,8,7,1,98,5,3,1,124,59,56,15,89
2011/2012,Real Madrid,38,46,12,73,10,10,3,93,7,4,,154,14,9,3,135,69,69,18,89
2012/2013,Real Madrid,34,34,10,80,12,12,1,90,9,9,1,90,9,4,2,177,64,59,14,90
2013/2014,Real Madrid,30,31,10,82,11,17,3,58,6,3,1,165,10,11,1,79,57,62,15,79
2014/2015,Real Madrid,35,48,15,64,15,12,6,111,4,1,,208,6,5,,96,60,66,21,78
2015/2016,Real Madrid,36,35,11,91,12,16,4,69,,,,,13,6,2,177,61,57,17,94
2016/2017,Real Madrid,29,25,6,102,15,16,5,88,2,1,,180,10,14,2,62,56,56,13,89
2017/2018,Real Madrid,27,26,5,88,16,17,3,80,1,1,,24,11,10,3,91,55,54,11,85
2018/2019,Juventus,31,21,8,128,9,6,2,125,3,1,,209,4,3,,100,47,31,10,127
2019/2020,Juventus,33,31,5,94,8,4,,178,5,2,,225,6,11,,47,52,48,5,96
2020/2021,Juventus,33,29,3,97,6,4,2,143,5,3,,126,15,10,2,126,59,46,7,109
2021/2022,Man United,30,18,3,137,7,6,,102,1,,,,10,8,1,99,48,32,4,124
2021/2022,Juventus,1,,,,,,,,,,,,,,,,1,,,
2022,Free,,,,,,,,,,,,,5,1,,289,5,1,,289
2022/2023,Al Nassr,16,14,2,102,,,,,3,,,,4,5,,64,23,19,2,106
2022/2023,Man United,10,1,,525,6,2,2,265,,,,,2,,1,,18,3,3,412
2023/2024,Al Nassr,31,35,11,76,15,12,2,111,5,3,,155,12,7,3,152,63,57,16,97
2024/2025,Al Nassr,30,25,3,105,8,8,,82,3,2,1,130,9,8,1,91,50,43,5,99
2025/2026,Al Nassr,,,,,,,,,,,,,,,,,,,,
