SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1982/1983,Vardar Skopje,,,,,,,,,,,,,,,,,,,,
1983/1984,Vardar Skopje,,,,,,,,,,,,,1,,,,1,,,
1984/1985,Vardar Skopje,4,2,,180,,,,,,,,,3,,,,7,2,,227
1985/1986,Vardar Skopje,26,12,,187,3,2,,131,,,,,,,,,29,14,,179
1986/1987,Vardar Skopje,31,18,,153,,,,,,,,,2,2,,90,33,20,,147
1987/1988,Vardar Skopje,30,13,,205,2,,,,,,,,2,,,,34,13,,228
1988/1989,RS Belgrade,,,,,,,,,,,,,,,,,,,,
1989/1990,RS Belgrade,32,24,,115,5,3,,150,8,8,,86,9,5,,121,54,40,,113
1990/1991,RS Belgrade,32,34,,84,9,5,,165,7,6,,105,7,10,,55,55,55,,88
1991/1992,RS Belgrade,28,25,,98,11,7,,135,9,4,,187,3,,,,51,36,,122
1992/1993,Inter Milan,12,1,,853,,,,,4,5,,57,,,,,16,6,,189
1993/1994,VfB Leipzig,10,2,,428,,,,,,,,,1,,,,11,2,,473
1993/1994,Inter Milan,,,,,,,,,,,,,1,1,,90,1,1,,90
1994/1995,Inter Milan,7,2,,217,1,,,,5,2,,191,4,,,,17,4,,309
1995/1996,Düsseldorf,14,2,,395,,,,,3,1,,217,,,,,17,3,,335
1996/1997,FC Sion,5,,,,1,1,,80,,,,,,,,,6,1,,321
