SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1992/1993,Man United,,,,,,,,,1,,,,,,,,1,,,
1993/1994,Man United,,,,,,,,,,,,,,,,,,,,
1994/1995,Man United,4,,,,,,,,1,,,,,,,,5,,,
1994/1995,Man United,,,,,1,1,,90,4,,,,,,,,5,1,,378
1995/1996,Man United,33,7,,360,2,,,,5,1,,416,,,,,40,8,,389
1996/1997,Man United,36,8,,373,10,2,,445,3,2,,135,9,,,,58,12,,406
1997/1998,Man United,37,9,,343,8,,,,5,2,,167,9,1,1,587,59,12,1,393
1998/1999,Man United,34,6,,480,12,2,1,535,9,1,,755,5,,,,60,9,1,569
1999/2000,Man United,31,6,,433,16,2,,642,1,1,,90,11,,2,,59,9,2,545
2000/2001,Man United,31,9,,294,12,,,,3,,,,8,3,,207,54,12,,377
2001/2002,Man United,28,11,,194,13,5,2,219,2,,,,12,3,3,321,55,19,5,230
2002/2003,Man United,31,6,,419,13,3,1,298,8,2,,342,6,4,,109,58,15,1,302
2003/2004,Real Madrid,32,3,3,915,7,1,,630,7,3,1,206,12,2,2,480,58,9,6,550
2004/2005,Real Madrid,30,4,,607,8,,,,,,,,9,3,1,239,47,7,1,545
2005/2006,Real Madrid,31,3,,841,7,1,,617,6,1,,470,13,1,2,1044,57,6,2,776
2006/2007,Real Madrid,23,3,1,473,6,,,,2,1,,180,2,,1,,33,4,2,518
2007,LA Galaxy,5,,2,,2,1,1,94,,,,,3,,1,,10,1,4,545
2008,LA Galaxy,25,5,7,449,,,,,,,,,8,,2,,33,5,9,502
2008/2009,AC Milan,18,2,6,714,2,,,,,,,,3,,1,,23,2,7,822
2009,LA Galaxy,14,2,2,586,,,,,,,,,5,,,,19,2,2,683
2009/2010,AC Milan,11,,1,,2,,,,,,,,,,,,13,,1,
2010,LA Galaxy,10,2,3,368,,,,,,,,,,,,,10,2,3,368
2011,LA Galaxy,30,2,13,1285,4,,2,,,,,,,,,,34,2,15,1457
2012,LA Galaxy,29,7,7,344,3,1,1,259,,,,,,,,,32,8,8,333
2012/2013,Paris SG,10,,2,,2,,,,2,,,,,,,,14,,2,
