SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1984/1985,Osijek B,,,,,,,,,,,,,,,,,,,,
1985/1986,Osijek,15,3,,245,,,,,,,,,,,,,15,3,,245
1986/1987,Osijek,27,9,,183,,,,,1,,,,,,,,28,9,,190
1987/1988,Osijek,29,9,,269,,,,,,,,,,,,,29,9,,269
1988/1989,Osijek,26,18,,120,,,,,1,1,,90,,,,,27,19,,118
1989/1990,HASK Gradanski,29,12,,199,2,1,,180,1,1,,90,,,,,32,14,,190
1990/1991,HASK Gradanski,32,22,,130,3,,1,,3,3,,90,3,1,,142,41,26,1,135
1991/1992,Sevilla FC,22,6,,293,,,,,4,3,,120,,,,,26,9,,235
1992/1993,Sevilla FC,33,13,1,205,,,,,2,,,,2,3,,57,37,16,1,186
1993/1994,Sevilla FC,34,24,,124,,,,,6,3,,180,2,1,,164,42,28,,131
1994/1995,Sevilla FC,32,17,,160,,,,,2,3,,60,7,7,,90,41,27,,131
1995/1996,Sevilla FC,32,16,,164,6,4,,133,3,1,,262,11,10,1,94,52,31,1,141
1996/1997,Real Madrid,38,24,,123,,,,,5,5,,74,4,3,,120,47,32,,115
1997/1998,Real Madrid,29,10,,167,7,4,1,107,3,1,,242,16,12,,116,55,27,1,138
1998/1999,Real Madrid,19,4,,230,6,1,,88,2,,,,7,5,,120,34,10,,172
1999/2000,Arsenal,22,8,,123,13,2,,188,4,1,,401,8,1,,720,47,12,,206
2000/2001,West Ham,11,2,,294,,,,,2,1,,111,4,,,,17,3,,318
2001/2002,Munich 1860,14,4,,197,,,,,3,2,,101,7,3,,115,24,9,,148
2002/2003,Munich 1860,11,1,,471,,,,,2,1,,36,,,,,13,2,,254
