SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1995,Nacional SP,,,,,,,,,,,,,,,,,,,,
1996,Corinthians,2,,,,,,,,,,,,,,,,2,,,
1996,Nacional SP,,,,,,,,,,,,,,,,,,,,
1997,Corinthians,,,,,,,,,,,,,,,,,,,,
1997/1998,Alverça,32,12,,209,,,,,,,,,,,,,32,12,,209
1998/1999,FC Porto,6,,,,,,,,,,,,,,,,6,,,
1998/1999,Salgueiros,12,2,,384,,,,,1,,,,,,,,13,2,,429
1999/2000,FC Porto,23,1,,1907,11,3,,298,4,3,,93,,,,,38,7,,440
2000/2001,FC Porto,31,6,,404,11,,,,6,,,,,,,,48,6,,631
2001/2002,FC Porto,30,13,,195,15,6,,202,3,,,,,,,,48,19,,211
2002/2003,FC Porto,30,10,,255,12,1,,1059,3,1,,196,4,1,,146,49,13,,304
2003/2004,FC Porto,28,2,,1136,13,2,,573,4,,1,,13,,2,,58,4,3,1169
2004/2005,FC Barcelona,35,6,1,506,7,2,,311,,,,,10,1,1,832,52,9,2,499
2005/2006,FC Barcelona,29,3,,791,11,2,,485,3,,,,10,1,,702,53,6,,716
2006/2007,FC Barcelona,31,1,1,2472,11,3,1,330,5,2,1,222,7,,,,54,6,3,736
2007/2008,FC Barcelona,18,1,3,1224,6,,,,5,,,,10,1,1,796,39,2,4,1441
2008/2009,Chelsea,24,3,,516,4,,,,2,,,,8,1,,571,38,4,,624
2009/2010,Chelsea,19,2,2,620,4,,,,5,1,,314,11,,2,,39,3,4,843
2010,Fluminense,16,1,,1137,,,,,,,,,,,,,16,1,,1137
2011,Fluminense,18,,,,2,1,1,77,5,,,,,,,,25,1,1,1535
2012,Fluminense,17,1,6,1361,8,1,1,659,11,3,,281,,,,,36,5,7,573
2013,Fluminense,5,,,,3,,,,6,,,,,,,,14,,,
