SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1956/1957,Huddersfield,,,,,,,,,,,,,,,,,,,,
1957/1958,Huddersfield,,,,,,,,,,,,,,,,,,,,
1958/1959,Huddersfield,,,,,,,,,,,,,4,1,,360,4,1,,360
1959/1960,Man City,7,2,,315,,,,,,,,,3,1,,191,10,3,,274
1959/1960,Huddersfield,,,,,,,,,,,,,2,,,,2,,,
1960/1961,Man City,37,19,,175,,,,,,,,,2,1,,180,39,20,,176
1961/1962,Torino,1,,,,,,,,,,,,3,2,,150,4,2,,195
1962/1963,Man United,38,23,,149,,,,,6,6,,90,7,11,,57,51,40,,115
1963/1964,Man United,30,30,,90,5,6,,75,7,10,,66,4,5,,72,46,51,,82
1964/1965,Man United,36,28,,116,10,8,,113,6,3,,180,7,3,,210,59,42,,126
1965/1966,Man United,33,15,,195,8,3,,240,8,6,,113,3,1,,270,52,25,,184
1966/1967,Man United,36,23,,139,,,,,2,2,,90,3,1,,225,41,26,,138
1967/1968,Man United,23,7,,296,3,2,,135,2,1,,180,1,,,,29,10,,261
1968/1969,Man United,30,14,,193,9,9,,85,6,7,,77,3,1,,252,48,31,,137
1969/1970,Man United,11,2,,443,,,,,5,1,,362,,,,,16,3,,416
1970/1971,Man United,28,15,,164,,,,,6,1,,509,,,,,34,16,,185
1971/1972,Man United,33,13,,218,,,,,9,,,,7,2,,301,49,15,,287
1972/1973,Man United,11,1,,764,,,,,3,1,,225,,,,,14,2,,495
1973/1974,Man City,24,9,,208,,,,,1,,,,6,,,,31,9,,267
