SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1985/1986,Ajax U-19,,,,,,,,,,,,,,,,,,,,
1986/1987,Ajax,14,2,,411,4,,,,5,,,,,,,,23,2,,608
1986/1987,Ajax U-19,,,,,,,,,,,,,,,,,,,,
1987/1988,Ajax,25,5,,310,8,1,,425,1,,,,,,,,34,6,,344
1988/1989,Ajax,30,13,,178,1,,,,3,3,,90,,,,,34,16,,167
1989/1990,Ajax,25,8,,197,1,,,,2,1,,81,,,,,28,9,,192
1990/1991,Ajax,33,25,,115,,,,,3,1,,270,6,3,,148,42,29,,124
1991/1992,Ajax,30,23,,114,11,6,,162,2,,,,11,6,,145,54,35,,133
1992/1993,Ajax,28,26,,92,8,3,1,240,4,4,,98,6,4,,129,46,37,1,108
1993/1994,Inter Milan,31,8,,340,11,8,,123,6,2,,270,13,9,1,119,61,27,1,197
1994/1995,Inter Milan,21,3,,603,2,1,,210,1,,,,3,1,,249,27,5,,472
1995/1996,Arsenal,33,11,,266,,,,,8,5,,141,10,2,1,412,51,18,1,248
1996/1997,Arsenal,29,12,,198,1,,,,4,2,,162,6,7,,74,40,21,,154
1997/1998,Arsenal,28,16,,153,1,1,,90,11,5,,194,9,4,3,179,49,26,3,162
1998/1999,Arsenal,29,12,,201,3,1,,268,8,3,,221,4,,,,44,16,,229
1999/2000,Arsenal,28,6,,313,11,4,,221,,,,,11,1,3,799,50,11,3,324
2000/2001,Arsenal,25,3,,564,5,1,,272,4,1,,328,,,,,34,5,,458
2001/2002,Arsenal,33,9,,217,6,2,,156,7,3,,149,,,,,46,14,,194
2002/2003,Arsenal,29,4,1,449,7,1,,519,5,2,,137,,,,,41,7,1,370
2003/2004,Arsenal,28,4,2,438,6,,,,4,1,,322,,,,,38,5,2,484
2004/2005,Arsenal,29,8,4,240,4,,,,5,,,,,,,,38,8,4,322
2005/2006,Arsenal,24,2,,566,4,1,,123,3,,,,,,,,31,3,,503
