SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1947,Madureira,,,,,,,,,15,6,,225,,,,,15,6,,225
1948,Madureira,,,,,,,,,17,2,,765,,,,,17,2,,765
1949,Fluminense,,,,,,,,,17,,,,,,,,17,,,
1950,Fluminense,,,,,,,,,25,7,,313,,,,,25,7,,313
1951,Fluminense,,,,,,,,,22,4,,495,,,,,22,4,,495
1952,Fluminense,,,,,,,,,23,8,,259,5,1,,450,28,9,,280
1953,Fluminense,,,,,,,,,34,15,,194,5,,,,39,15,,220
1954,Fluminense,,,,,,,,,24,12,,180,7,2,,315,31,14,,199
1955,Fluminense,,,,,,,,,31,9,,307,9,2,,360,40,11,,316
1956,Botafogo,,,,,,,,,22,16,,124,3,,,,25,16,,139
1957,Botafogo,,,,,,,,,23,17,,122,10,9,,100,33,26,,114
1958,Botafogo,,,,,,,,,36,18,,180,16,4,,349,52,22,,211
1959/1960,Real Madrid,19,6,,285,,,,,,,,,,,,,19,6,,285
1960,Botafogo,,,,,,,,,17,9,,170,,,,,17,9,,170
1961,Botafogo,,,,,,,,,26,8,,293,4,1,,360,30,9,,300
1962,Botafogo,,,,,,,,,11,2,,480,10,1,,900,21,3,,620
1963,Sp. Cristal,,,,,,,,,,,,,,,,,,,,
1964,Botafogo,,,,,,,,,11,1,,990,,,,,11,1,,990
1965,Botafogo,,,,,,,,,,,,,,,,,,,,
1965/1966,Veracruz,29,4,,653,,,,,,,,,,,,,29,4,,653
1966,São Paulo,,,,,,,,,3,,,,,,,,3,,,
