SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1976,Argentinos,11,2,,360,,,,,,,,,,,,,11,2,,360
1977,Argentinos,49,19,,229,,,,,,,,,3,,,,52,19,,239
1978,Argentinos,35,25,,125,,,,,,,,,1,,,,36,25,,127
1979,Argentinos,26,26,,88,,,,,,,,,8,3,,225,34,29,,102
1980,Argentinos,45,43,,94,,,,,,,,,10,7,1,129,55,50,1,99
1981,Boca Juniors,40,28,11,127,,,,,,,,,2,1,,180,42,29,11,129
1982,Boca Juniors,,,,,,,,,,,,,9,2,,405,9,2,,405
1982/1983,FC Barcelona,20,11,10,153,4,5,4,67,11,7,4,141,1,,,,36,23,18,134
1983/1984,FC Barcelona,16,11,3,121,3,3,1,83,4,1,1,364,,,,,23,15,5,130
1984/1985,Napoli,30,14,8,193,,,,,6,3,2,178,8,5,,144,44,22,10,180
1985/1986,Napoli,29,11,4,232,,,,,2,2,1,90,12,8,5,135,43,21,10,182
1986/1987,Napoli,29,10,4,257,2,,,,10,7,4,116,5,4,,113,46,21,8,192
1987/1988,Napoli,28,15,10,166,2,,,,9,6,2,135,3,1,1,270,42,22,13,171
1988/1989,Napoli,26,9,10,241,12,3,9,358,12,7,3,138,7,,1,,57,19,23,254
1989/1990,Napoli,28,16,14,149,5,,1,,3,2,,135,11,1,2,1050,47,19,17,216
1990/1991,Napoli,18,6,3,263,4,2,,163,4,2,4,180,,,,,26,10,7,227
1991/1992,Napoli,,,,,,,,,,,,,,,,,,,,
1992/1993,Sevilla FC,26,5,9,445,,,,,4,2,2,180,2,,,,32,7,11,399
1993/1994,Newell's Old Boys,5,,,,,,,,,,,,9,2,1,386,14,2,1,574
1995/1996,Boca Juniors,24,5,6,385,,,,,,,,,,,,,24,5,6,385
1996/1997,Boca Juniors,1,,1,,,,,,,,,,,,,,1,,1,
1997/1998,Boca Juniors,5,2,,184,1,,,,,,,,,,,,6,2,,207
