SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1961/1962,Udinese,4,,,,,,,,,,,,,,,,4,,,
1962/1963,Udinese,36,,,,,,,,1,,,,,,,,37,,,
1963/1964,Mantua,27,,,,,,,,,,,,,,,,27,,,
1964/1965,Mantua,32,,,,,,,,1,,,,,,,,33,,,
1965/1966,Mantua,38,,,,,,,,1,,,,,,,,39,,,
1966/1967,Mantua,34,,,,,,,,1,,,,,,,,35,,,
1967/1968,Napoli,30,,,,4,,,,2,,,,4,,,,40,,,
1968/1969,Napoli,30,,,,3,,,,5,,,,4,,,,42,,,
1969/1970,Napoli,30,,,,6,,,,3,,,,2,,,,41,,,
1970/1971,Napoli,30,,,,,,,,11,,,,4,,,,45,,,
1971/1972,Napoli,22,,,,2,,,,4,,,,4,,,,32,,,
1972/1973,Juventus,30,,,,8,,,,7,,,,7,,,,52,,,
1973/1974,Juventus,30,,,,3,,,,9,,,,8,,,,50,,,
1974/1975,Juventus,30,,,,10,,,,10,,,,6,,,,56,,,
1975/1976,Juventus,30,,,,4,,,,4,,,,9,,,,47,,,
1976/1977,Juventus,30,,,,12,,,,5,,,,7,,,,54,,,
1977/1978,Juventus,30,,,,7,,,,4,,,,13,,,,54,,,
1978/1979,Juventus,30,,,,2,,,,9,,,,5,,,,46,,,
1979/1980,Juventus,30,,,,8,,,,4,,,,9,,,,51,,,
1980/1981,Juventus,30,,,,4,,,,8,,,,8,,,,50,,,
1981/1982,Juventus,30,,,,4,,,,4,,,,14,,,,52,,,
1982/1983,Juventus,30,,,,9,,,,6,,,,6,,,,51,,,
