SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1981/1982,Auxerre C,,,,,,,,,,,,,,,,,,,,
1982/1983,Auxerre B,,,,,,,,,,,,,,,,,,,,
1983/1984,Auxerre,2,,,,,,,,,,,,,,,,2,,,
1984/1985,Auxerre,5,2,,151,,,,,,,,,,,,,5,2,,151
1985/1986,Martigues,15,4,,338,,,,,,,,,,,,,15,4,,338
1985/1986,Auxerre,7,,,,1,,,,,,,,,,,,8,,,
1986/1987,Auxerre,36,13,,240,,,,,4,4,,90,,,,,40,17,,205
1987/1988,Auxerre,32,8,1,360,2,1,,180,5,1,,426,5,1,1,450,44,11,2,358
1988/1989,Bordeaux,11,6,,165,,,,,1,,,,,,,,12,6,,185
1988/1989,Marseille,22,5,,390,,,,,,,,,,,,,22,5,,390
1989/1990,Montpellier,33,10,,294,,,,,6,4,,134,8,8,1,84,47,22,1,189
1990/1991,Marseille,18,8,,179,3,1,,270,,,,,5,1,,443,26,10,,214
1991/1992,Leeds United,12,3,,257,,,,,,,,,7,,1,,19,3,1,452
1991/1992,Nîmes,16,2,,710,,,,,,,,,2,2,,90,18,4,,400
1992/1993,Man United,22,9,,213,,,,,1,,,,2,3,,60,25,12,,182
1992/1993,Leeds United,13,6,,182,5,2,1,199,2,3,,60,2,2,1,90,22,13,2,142
1993/1994,Man United,34,18,1,166,4,2,,180,11,5,,194,8,3,,240,57,28,1,180
1994/1995,Man United,21,12,,152,2,,,,2,2,,90,6,,,,31,14,,195
1995/1996,Man United,30,14,,192,,,,,8,5,,144,,,,,38,19,,179
1996/1997,Man United,36,11,,293,10,3,,300,4,1,,360,,,,,50,15,,299
