SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1957,Maxaquene,,,,,,,,,,,,,,,,,,,,
1958,Maxaquene,,,,,,,,,,,,,,,,,,,,
1959,Maxaquene,,,,,,,,,,,,,,,,,,,,
1960/1961,Benfica,1,1,,90,,,,,1,1,,90,,,,,2,2,,90
1961/1962,Benfica,17,11,,139,7,6,,105,7,11,,57,5,2,,225,36,30,,108
1962/1963,Benfica,24,23,,94,9,7,,116,6,8,,68,3,1,,270,42,39,,97
1963/1964,Benfica,19,27,,63,3,4,,68,6,14,,39,5,2,,220,33,47,,63
1964/1965,Benfica,20,28,,64,9,9,,90,7,11,,57,6,9,,60,42,57,,66
1965/1966,Benfica,23,25,,83,5,7,,64,2,5,,36,13,12,1,98,43,49,1,79
1966/1967,Benfica,26,31,,75,4,4,,90,3,7,,39,4,3,,120,37,45,,74
1967/1968,Benfica,24,43,,50,9,6,,140,2,2,,90,3,,,,38,51,,68
1968/1969,Benfica,21,10,,179,5,1,,480,9,18,,44,4,2,,180,39,31,,110
1969/1970,Benfica,22,20,,94,4,4,,68,2,1,,135,2,1,,180,30,26,,95
1970/1971,Benfica,22,19,,104,3,7,,39,7,9,,56,4,2,,180,36,37,,84
1971/1972,Benfica,24,18,,115,8,1,,720,5,8,,54,11,4,,220,48,31,,132
1972/1973,Benfica,28,40,,63,4,2,,180,1,,,,3,3,,90,36,45,,72
1973/1974,Benfica,21,16,,110,4,1,,301,3,2,,83,1,,,,29,19,,118
1974/1975,Benfica,9,2,,362,4,,,,,,,,,,,,13,2,,535
1975,Minutemen,7,2,,315,,,,,,,,,,,,,7,2,,315
1975/1976,Monterrey,,,,,,,,,,,,,,,,,,,,
1976,Metros-Croatia,25,18,,125,,,,,,,,,,,,,25,18,,125
1976/1977,Beira Mar,,,,,,,,,,,,,,,,,,,,
1977,Quicksilvers,,,,,,,,,,,,,,,,,,,,
1977/1978,Tomar,,,,,,,,,,,,,,,,,,,,
1978,NJ Americans,,,,,,,,,,,,,,,,,,,,
