SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1991/1992,Napoli,,,,,,,,,,,,,,,,,,,,
1992/1993,Napoli,2,,,,,,,,1,,,,,,,,3,,,
1993/1994,Napoli,27,,,,,,,,2,,,,,,,,29,,,
1994/1995,Napoli,29,1,,2504,3,,,,4,,,,,,,,36,1,,3087
1995/1996,Parma,29,1,,2610,6,,,,1,,,,,,,,36,1,,3199
1996/1997,Parma,27,,,,2,,,,1,,,,8,,,,38,,,
1997/1998,Parma,31,,,,7,,,,6,,,,11,,,,55,,,
1998/1999,Parma,30,1,,2565,8,,,,7,,,,9,,,,54,1,,4680
1999/2000,Parma,28,2,,1246,9,1,,717,4,,,,13,,,,54,3,,1565
2000/2001,Parma,33,,,,6,,,,5,,1,,9,,,,53,,1,
2001/2002,Parma,31,1,,2745,9,,,,5,,,,11,,,,56,1,,4815
2002/2003,Inter Milan,28,,,,12,1,,916,,,,,9,,,,49,1,,4018
2003/2004,Inter Milan,22,2,,963,9,,,,3,,,,10,1,,729,44,3,,1207
2004/2005,Juventus,38,2,,1666,9,1,,756,,,,,5,,,,52,3,,1490
2005/2006,Juventus,36,4,,800,9,,,,3,,,,15,,,,63,4,,1419
2006/2007,Real Madrid,32,,,,6,,,,1,,,,8,,,,47,,,
2007/2008,Real Madrid,33,,,,6,,,,3,1,,270,8,1,,637,50,2,,2117
2008/2009,Real Madrid,29,,,,7,,,,1,,,,10,,,,47,,,
2009/2010,Al Ahli Dubai,,,,,,,,,,,,,4,,,,4,,,
2009/2010,Juventus,27,,,,5,,1,,1,,,,6,,,,39,,1,
2010/2011,Al Ahli Dubai,15,,,,,,,,,,,,,,,,15,,,
