SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1943/1944,Kispest,1,2,,45,,,,,,,,,,,,,1,2,,45
1945,Kispest,32,20,,143,,,,,,,,,2,3,,60,34,23,,132
1945/1946,Kispest,21,27,,70,,,,,,,,,1,,,,22,27,,72
1946/1947,Kispest,29,32,,82,,,,,,,,,5,6,,75,34,38,,81
1947/1948,Kispest,31,50,,56,,,,,,,,,6,6,,90,37,56,,59
1948/1949,Honvéd,28,46,,54,,,,,,,,,7,9,,66,35,55,,56
1949/1950,Honvéd,30,31,,87,,,,,,,,,6,10,,54,36,41,,79
1950,Honvéd,15,25,,54,,,,,,,,,3,7,,39,18,32,,51
1951,Honvéd,21,21,,90,,,,,,,,,3,4,,64,24,25,,86
1952,Honvéd,26,22,,102,,,,,,,,,7,6,,105,33,28,,102
1953,Honvéd,26,27,,87,,,,,,,,,7,6,,105,33,33,,90
1954,Honvéd,20,21,,84,,,,,,,,,12,10,,108,32,31,,91
1955,Honvéd,26,18,,130,,,,,,,,,12,10,,101,38,28,,120
1956,Honvéd,13,5,,234,,,,,,,,,10,5,,180,23,10,,207
1958/1959,Real Madrid,24,21,,103,5,2,,198,5,2,,225,,,,,34,25,,120
1959/1960,Real Madrid,24,24,,90,8,12,,60,5,9,,50,,,,,37,45,,74
1960/1961,Real Madrid,28,28,,90,3,2,,135,9,14,,58,,,,,40,44,,82
1961/1962,Real Madrid,23,20,,104,9,7,,116,8,13,,55,4,,,,44,40,,99
1962/1963,Real Madrid,30,26,,104,2,,,,7,4,,158,,,,,39,30,,117
1963/1964,Real Madrid,25,21,,107,8,7,,103,,,,,,,,,33,28,,106
1964/1965,Real Madrid,18,11,,145,3,2,,135,4,4,,90,,,,,25,17,,131
1965/1966,Real Madrid,8,4,,180,3,5,,54,3,1,,270,,,,,14,10,,126
