SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1958/1959,Ferencváros,,,,,,,,,,,,,1,,,,1,,,
1959/1960,Ferencváros,,,,,,,,,,,,,7,7,,88,7,7,,88
1960/1961,Ferencváros,,,,,1,,,,,,,,10,7,,100,11,7,,113
1961/1962,Ferencváros,,,,,,,,,,,,,9,4,,187,9,4,,187
1962/1963,Ferencváros,,,,,,,,,,,,,7,3,,188,7,3,,188
1963,Ferencváros,,,,,2,2,,90,,,,,5,1,,450,7,3,,210
1964,Ferencváros,,,,,,,,,,,,,7,7,,95,7,7,,95
1965,Ferencváros,,,,,5,7,,64,,,,,5,1,,450,10,8,,113
1966,Ferencváros,,,,,2,,,,,,,,9,2,,405,11,2,,495
1967,Ferencváros,,,,,,,,,,,,,7,1,,630,7,1,,630
1968,Ferencváros,,,,,,,,,,,,,2,1,,135,2,1,,135
1969,Ferencváros,,,,,,,,,,,,,3,1,,216,3,1,,216
1970,Ferencváros,,,,,,,,,,,,,,,,,,,,
1970/1971,Ferencváros,,,,,,,,,,,,,3,,,,3,,,
1971/1972,Ferencváros,,,,,2,,,,,,,,2,,,,4,,,
1972/1973,Ferencváros,,,,,3,,,,,,,,,,,,3,,,
1973/1974,Ferencváros,,,,,,,,,,,,,1,,,,1,,,
