SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1963/1964,Bayern Munich,,,,,,,,,6,2,,270,,,,,6,2,,270
1964/1965,Bayern Munich,31,16,,174,,,,,6,1,,540,,,,,37,17,,196
1965/1966,Bayern Munich,33,4,5,743,,,,,6,1,,570,11,5,,198,50,10,5,453
1966/1967,Bayern Munich,33,,1,,9,,,,5,,,,7,2,,330,54,2,1,2490
1967/1968,Bayern Munich,28,4,9,625,7,1,,630,4,,,,6,1,,516,45,6,9,673
1968/1969,Bayern Munich,33,2,7,1460,,,,,6,,,,9,,,,48,2,7,2117
1969/1970,Bayern Munich,34,6,2,510,2,,,,3,,,,11,1,,1032,50,7,2,642
1970/1971,Bayern Munich,33,3,2,990,8,1,,720,7,1,,720,10,3,,287,58,8,2,659
1971/1972,Bayern Munich,34,6,8,498,7,,,,6,1,,570,9,,,,56,7,8,714
1972/1973,Bayern Munich,34,6,5,510,6,1,,540,11,,,,6,1,,540,57,8,5,637
1973/1974,Bayern Munich,34,4,,745,10,1,,960,4,,,,17,,1,,65,5,1,1157
1974/1975,Bayern Munich,33,1,5,2970,7,1,1,630,3,,,,6,,,,49,2,6,2205
1975/1976,Bayern Munich,34,5,3,609,11,,,,7,2,,330,9,,,,61,7,3,789
1976/1977,Bayern Munich,32,3,6,945,10,1,1,900,4,,,,3,1,,270,49,5,7,879
1977,New York,21,5,,378,,,,,,,,,,,,,21,5,,378
1978,New York,33,9,,330,,,,,,,,,,,,,33,9,,330
1979,New York,18,1,,1620,,,,,,,,,,,,,18,1,,1620
1980,New York,31,5,,558,,,,,,,,,,,,,31,5,,558
1980/1981,Hambourg,18,,,,,,,,2,,,,,,,,20,,,
1981/1982,Hambourg,10,,,,5,,,,3,,,,,,,,18,,,
1982,New York,,,,,,,,,,,,,,,,,,,,
1983,New York,27,2,,1230,,,,,,,,,,,,,27,2,,1230
