SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1988/1989,Newell's Old Boys,16,4,,237,4,1,,384,,,,,,,,,20,5,,267
1989/1990,River Plate,19,3,,489,2,,,,2,1,,180,,,,,23,4,,435
1990/1991,Boca Juniors,30,13,,199,13,6,,173,4,,,,7,6,1,105,54,25,1,184
1991/1992,Fiorentina,27,13,,175,,,,,3,1,,225,3,4,,61,33,18,,153
1992/1993,Fiorentina,32,15,,189,,,,,3,3,,90,10,5,1,183,45,23,1,175
1993/1994,Fiorentina,26,16,,135,,,,,3,3,,90,17,9,,160,46,28,,138
1994/1995,Fiorentina,32,26,1,110,,,,,5,2,,225,9,9,,87,46,37,1,110
1995/1996,Fiorentina,31,19,,145,,,,,8,8,,84,4,1,,339,43,28,,135
1996/1997,Fiorentina,32,13,,220,7,4,,158,2,2,,90,4,2,,180,45,21,,192
1997/1998,Fiorentina,31,21,,133,,,,,5,3,,112,13,12,,94,49,36,,118
1998/1999,Fiorentina,28,21,1,118,4,1,1,360,9,4,,194,2,2,,68,43,28,2,134
1999/2000,Fiorentina,30,23,,111,11,6,,147,2,,,,5,4,,98,48,33,,121
2000/2001,AS Roma,28,20,,123,4,1,,192,,,,,1,1,,90,33,22,,124
2001/2002,AS Roma,23,6,,281,11,,,,1,,,,4,2,,143,39,8,,360
2002/2003,Inter Milan,12,2,,413,,,,,,,,,,,,,12,2,,413
2002/2003,AS Roma,12,4,,166,6,1,,300,2,1,,130,,,,,20,6,,182
2003/2004,Al Arabi Doha,18,25,,65,,,,,2,1,,180,,,,,20,26,,69
2004/2005,Al Arabi Doha,,,,,,,,,,,,,,,,,,,,
