SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1953,Botafogo,,,,,,,,,23,20,,104,,,,,23,20,,104
1954,Botafogo,,,,,,,,,36,9,,360,,,,,36,9,,360
1955,Botafogo,,,,,,,,,28,5,,504,1,,,,29,5,,522
1956,Botafogo,,,,,,,,,20,5,,360,,,,,20,5,,360
1957,Botafogo,,,,,,,,,30,7,,386,6,,,,36,7,,442
1958,Botafogo,,,,,,,,,35,10,,312,5,,2,,40,10,2,357
1959,Botafogo,,,,,,,,,28,12,,210,4,,,,32,12,,235
1960,Botafogo,,,,,,,,,30,10,,270,5,2,,203,35,12,,259
1961,Botafogo,,,,,,,,,32,8,,360,4,1,,360,36,9,,360
1962,Botafogo,5,,,,,,,,29,10,,258,12,6,,175,46,16,,255
1963,Botafogo,,,,,2,,,,4,1,,360,,,,,6,1,,540
1964,Botafogo,,,,,,,,,11,3,,330,,,,,11,3,,330
1965,Botafogo,,,,,,,,,11,2,,464,6,,,,17,2,,660
1966,Corinthians,,,,,,,,,4,,,,2,1,,180,6,1,,540
1967,Santista,,,,,,,,,,,,,,,,,,,,
1968,Junior,,,,,,,,,,,,,,,,,,,,
1968/1969,Flamengo,,,,,,,,,4,,,,,,,,4,,,
1972,Olaria,,,,,,,,,8,,,,,,,,8,,,
1973,Olaria,,,,,,,,,,,,,,,,,,,,
