SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1978/1979,Leicester,7,1,,630,,,,,,,,,,,,,7,1,,630
1979/1980,Leicester,19,3,,490,,,,,1,,,,,,,,20,3,,520
1980/1981,Leicester,9,2,,383,,,,,1,1,,90,,,,,10,3,,285
1981/1982,Leicester,39,17,,198,,,,,8,2,,360,,,,,47,19,,215
1982/1983,Leicester,40,26,,134,,,,,3,,,,,,,,43,26,,143
1983/1984,Leicester,39,22,,153,,,,,2,,,,1,,,,42,22,,162
1984/1985,Leicester,41,24,,150,,,,,6,2,,270,6,3,,90,53,29,,152
1985/1986,Everton,41,30,,119,,,,,16,10,,137,11,9,,102,68,49,,119
1986/1987,FC Barcelona,41,20,,179,8,,,,1,,,,6,7,,75,56,27,,183
1987/1988,FC Barcelona,36,16,,183,8,2,,360,6,,,,11,7,,137,61,25,,206
1988/1989,FC Barcelona,26,6,,326,8,4,,169,5,1,,369,7,3,,205,46,14,,259
1989/1990,Tottenham,38,24,,136,,,,,7,2,,330,16,6,,246,61,32,,168
1990/1991,Tottenham,32,15,,171,,,,,11,4,,247,10,10,,82,53,29,,151
1991/1992,Tottenham,35,28,,106,8,2,,347,8,5,,144,8,3,,194,59,38,,130
1993,Nagoya,7,1,,642,,,,,5,4,,113,4,,1,,16,5,1,290
1994,Nagoya,11,3,,205,,,,,1,,,,,,,,12,3,,235
