SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1963/1964,Man United,17,4,,383,2,,,,7,2,,330,2,,,,28,6,,425
1964/1965,Man United,41,10,,369,11,2,,495,7,2,,315,7,3,,210,66,17,,349
1965/1966,Man United,31,9,,310,6,4,1,135,6,4,,143,3,,,,46,17,1,245
1966/1967,Man United,42,10,,378,,,,,3,,,,1,,,,46,10,,414
1967/1968,Man United,41,28,,132,9,3,,280,3,1,,300,1,,1,,54,32,1,154
1968/1969,Man United,41,19,,194,8,2,,359,6,1,,540,4,1,,360,59,23,,231
1969/1970,Man United,37,15,,219,,,,,16,8,,184,4,1,,360,57,24,,213
1970/1971,Man United,40,18,,195,,,,,8,3,,240,6,4,,135,54,25,,191
1971/1972,Man United,40,18,,195,,,,,13,8,,158,2,,,,55,26,,191
1972/1973,Man United,19,4,,420,,,,,4,2,,180,1,,,,24,6,,353
1973/1974,Man United,12,2,,534,,,,,,,,,1,,,,13,2,,579
1974/1975,Dunstable,,,,,,,,,,,,,,,,,,,,
1975/1976,Stockport,,,,,,,,,,,,,,,,,,,,
1976,LA Aztecs,,,,,,,,,,,,,,,,,,,,
1976/1977,Fulham,,,,,,,,,,,,,3,,,,3,,,
1977/1978,Fulham,,,,,,,,,,,,,2,,,,2,,,
1978,LA Aztecs,,,,,,,,,,,,,,,,,,,,
1979,FL Strikers,11,2,,495,,,,,,,,,,,,,11,2,,495
1979/1980,Hibernian,,,,,,,,,,,,,,,,,,,,
1980,San Jose Earthquakes,1,,,,,,,,,,,,,,,,1,,,
1980/1981,Hibernian,,,,,,,,,,,,,,,,,,,,
1981,San Jose Earthquakes,,,,,,,,,,,,,,,,,,,,
1981/1982,Motherwell,,,,,,,,,,,,,,,,,,,,
1982/1983,Bournemouth,,,,,,,,,,,,,,,,,,,,
1982/1983,Motherwell,,,,,,,,,,,,,,,,,,,,
1983,Brisbane Lions,,,,,,,,,,,,,,,,,,,,
