SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1981/1982,Young Survivors,,,,,,,,,,,,,,,,,,,,
1982/1983,Young Survivors,,,,,,,,,,,,,,,,,,,,
1983/1984,Young Survivors,,,,,,,,,,,,,,,,,,,,
1984/1985,Young Survivors,,,,,,,,,,,,,,,,,,,,
1986/1987,IE,,,,,,,,,,,,,3,2,,135,3,2,,135
1986/1987,Mighty Barolle,,,,,,,,,,,,,4,,,,4,,,
1987/1988,IE,,,,,,,,,,,,,5,3,,150,5,3,,150
1988/1989,Monaco,23,14,,120,5,2,,185,10,1,,930,8,2,,360,46,19,,195
1989/1990,Monaco,17,5,1,285,7,3,,202,,,,,1,,,,25,8,1,265
1990/1991,Monaco,29,10,,231,5,3,,139,6,5,,108,,,,,40,18,,181
1991/1992,Monaco,34,18,,168,9,4,,203,4,1,,347,,,,,47,23,,181
1992/1993,Paris SG,30,14,1,177,9,7,,107,6,2,,272,1,,,,46,23,1,168
1993/1994,Paris SG,32,11,,213,5,1,,397,3,2,,124,1,,,,41,14,,220
1994/1995,Paris SG,34,7,,384,11,8,1,112,8,3,,205,8,1,,675,61,19,1,257
1995/1996,AC Milan,26,11,2,210,6,3,,172,3,1,,300,4,1,,360,39,16,2,218
1996/1997,AC Milan,28,13,,174,5,3,1,143,3,,,,9,2,,405,45,18,1,206
1997/1998,AC Milan,24,10,2,202,,,,,8,3,,209,3,,,,35,13,2,221
1998/1999,AC Milan,26,8,4,286,,,,,4,1,1,360,6,2,,270,36,11,5,289
1999/2000,Chelsea,11,3,,292,,,,,4,2,,166,3,,,,18,5,,296
1999/2000,AC Milan,10,4,1,199,1,1,,82,3,,1,,,,,,14,5,2,225
2000/2001,Marseille,19,5,3,311,,,,,1,,,,8,1,,675,28,6,3,376
2000/2001,Man City,7,1,1,475,,,,,2,3,,70,1,,,,10,4,1,194
2000/2001,AC Milan,,,,,,,,,,,,,2,1,,180,2,1,,180
2001/2002,Al Jazira,,,,,,,,,,,,,7,3,,183,7,3,,183
2002/2003,Al Jazira,,,,,,,,,,,,,,,,,,,,
2018,Free,,,,,,,,,,,,,1,,,,1,,,
