SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1962/1963,Nördlingen,,,,,,,,,,,,,,,,,,,,
1963/1964,Nördlingen,,,,,,,,,,,,,,,,,,,,
1964/1965,Bayern Munich,26,33,,71,,,,,6,6,,90,,,,,32,39,,74
1965/1966,Bayern Munich,33,15,3,198,,,,,6,1,,570,,,,,39,16,3,221
1966/1967,Bayern Munich,32,28,5,103,9,8,,109,4,7,,56,3,4,,68,48,47,5,94
1967/1968,Bayern Munich,34,19,7,161,8,7,,103,4,4,,98,2,2,,57,48,32,7,134
1968/1969,Bayern Munich,30,30,4,89,,,,,5,7,,64,7,9,,70,42,46,4,81
1969/1970,Bayern Munich,33,38,8,78,2,,,,3,4,,68,13,12,3,103,51,54,11,86
1970/1971,Bayern Munich,32,22,13,130,8,7,,103,7,10,,72,7,10,,63,54,49,13,100
1971/1972,Bayern Munich,34,40,14,77,8,5,,144,6,6,,95,9,14,,58,57,65,14,79
1972/1973,Bayern Munich,33,36,6,80,6,12,,45,10,18,,50,5,6,,75,54,72,6,66
1973/1974,Bayern Munich,34,30,,101,10,8,,120,4,5,,72,16,11,2,131,64,54,2,107
1974/1975,Bayern Munich,33,23,11,129,7,5,,126,3,2,,135,,,,,43,30,11,129
1975/1976,Bayern Munich,22,23,1,86,7,5,1,115,6,7,,81,,,,,35,35,2,89
1976/1977,Bayern Munich,25,28,3,80,8,9,,80,4,11,,32,,,,,37,48,3,69
1977/1978,Bayern Munich,33,24,6,124,6,4,,135,3,4,,68,,,,,42,32,6,118
1978/1979,Bayern Munich,19,9,,182,,,,,2,4,,45,,,,,21,13,,140
1979,FL Strikers,27,19,,128,,,,,,,,,,,,,27,19,,128
1980,FL Strikers,35,16,,194,,,,,,,,,,,,,35,16,,194
1981,FL Strikers,11,5,,198,,,,,,,,,1,,,,12,5,,216
