SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1960/1961,Inter Milan,3,1,,270,1,,,,,,,,,,,,4,1,,360
1961/1962,Inter Milan,15,,,,6,,,,,,,,,,,,21,,,
1962/1963,Inter Milan,31,4,,698,,,,,2,,,,3,,,,36,4,,810
1963/1964,Inter Milan,32,4,,720,9,,,,,,,,4,,,,45,4,,1013
1964/1965,Inter Milan,32,2,,1440,9,1,,840,3,,,,6,1,,540,50,4,,1140
1965/1966,Inter Milan,32,10,,288,7,2,,315,1,,,,11,1,,945,51,13,,350
1966/1967,Inter Milan,34,4,,765,10,2,,450,2,,,,5,1,,450,51,7,,656
1967/1968,Inter Milan,28,7,,360,,,,,9,2,,384,8,,,,45,9,,452
1968/1969,Inter Milan,30,6,,450,,,,,3,1,,270,5,,,,38,7,,489
1969/1970,Inter Milan,28,5,,504,9,,,,6,1,,540,10,,1,,53,6,1,800
1970/1971,Inter Milan,30,5,,540,2,,,,3,,,,6,,,,41,5,,738
1971/1972,Inter Milan,27,4,,608,9,1,,840,8,1,,720,6,,,,50,6,,755
1972/1973,Inter Milan,29,1,,2610,5,,,,10,3,,300,4,,,,48,4,,1052
1973/1974,Inter Milan,28,2,,1260,2,,,,7,,,,8,,,,45,2,,2004
1974/1975,Inter Milan,23,,,,3,,,,8,1,,720,4,,,,38,1,,3386
1975/1976,Inter Milan,28,3,,840,,,,,10,,,,8,,,,46,3,,1380
1976/1977,Inter Milan,27,1,,2430,1,,,,8,,,,3,,,,39,1,,3510
1977/1978,Inter Milan,18,,,,1,,,,4,,,,3,,,,26,,,
