SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1994/1995,Parma U-19,,,,,,,,,,,,,,,,,,,,
1995/1996,Parma,9,,,,,,,,,,,,,,,,9,,,
1996/1997,Parma,27,,,,1,,,,,,,,,,,,28,,,
1997/1998,Parma,32,,,,8,,,,6,,,,2,,,,48,,,
1998/1999,Parma,34,,,,11,,,,6,,,,7,,,,58,,,
1999/2000,Parma,32,,,,9,,,,2,,,,6,,,,49,,,
2000/2001,Parma,34,,,,7,,,,2,,,,5,,,,48,,,
2001/2002,Juventus,34,,,,10,,,,1,,,,10,,,,55,,,
2002/2003,Juventus,32,,,,15,,,,1,,,,8,,,,56,,,
2003/2004,Juventus,32,,,,6,,,,1,,,,11,,,,50,,,
2004/2005,Juventus,37,,,,11,,,,,,,,8,,,,56,,,
2005/2006,Juventus,18,,,,4,,,,2,,,,10,,,,34,,,
2006/2007,Juventus,37,,,,,,,,3,,,,8,,,,48,,,
2007/2008,Juventus,34,,,,,,,,1,,,,11,,,,46,,,
2008/2009,Juventus,23,,,,5,,,,2,,,,9,,,,39,,,
2009/2010,Juventus,27,,,,7,,,,1,,,,7,,,,42,,,
2010/2011,Juventus,16,,,,,,,,1,,,,3,,,,20,,,
2011/2012,Juventus,35,,,,,,,,,,,,15,,,,50,,,
2012/2013,Juventus,32,,,,10,,,,2,,,,13,,,,57,,,
2013/2014,Juventus,33,,,,14,,,,1,,,,9,,,,57,,,
2014/2015,Juventus,33,,,,13,,,,1,,,,6,,,,53,,,
2015/2016,Juventus,35,,,,8,,,,1,,,,13,,,,57,,,
2016/2017,Juventus,30,,,,12,,,,1,,,,8,,,,51,,,
2017/2018,Juventus,21,,,,9,,,,4,,,,7,,,,41,,,
2018/2019,Paris SG,17,,,,5,,,,3,,,,,,,,25,,,
2019/2020,Juventus,9,,,,1,,,,5,,,,,,,,15,,,
2020/2021,Juventus,8,,,,1,,,,5,,,,,,,,14,,,
2021/2022,Parma,26,,,,,,,,,,,,,,,,26,,,
2022/2023,Parma,17,,,,,,,,2,,,,,,,,19,,,
