SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1958/1959,Alessandria,1,,,,,,,,,,,,,,,,1,,,
1958/1959,Alessandria B,,,,,,,,,,,,,,,,,,,,
1959/1960,Alessandria,25,6,,375,,,,,,,,,,,,,25,6,,375
1960/1961,AC Milan,30,6,,450,,,,,1,,,,,,,,31,6,,465
1961/1962,AC Milan,27,10,,243,2,,,,1,,,,2,,,,32,10,,288
1962/1963,AC Milan,27,9,,270,7,2,,315,,,,,4,2,,163,38,13,,260
1963/1964,AC Milan,27,7,,347,4,1,,360,1,,,,5,3,,150,37,11,,303
1964/1965,AC Milan,29,2,,1305,,,,,,,,,5,1,,405,34,3,,1005
1965/1966,AC Milan,31,7,,399,4,1,2,360,1,,,,9,3,,255,45,11,2,364
1966/1967,AC Milan,34,12,,255,,,,,6,7,4,77,3,,,,43,19,4,201
1967/1968,AC Milan,29,11,1,237,10,1,7,930,5,3,1,150,4,,,,48,15,9,292
1968/1969,AC Milan,28,3,2,840,7,2,2,281,1,,,,3,,,,39,5,4,688
1969/1970,AC Milan,25,8,3,281,5,3,1,133,3,1,2,270,7,2,1,221,40,14,7,240
1970/1971,AC Milan,26,6,10,383,,,,,10,6,3,155,2,,,,38,12,13,284
1971/1972,AC Milan,23,3,5,675,8,4,1,180,2,2,,90,2,,,,35,9,6,340
1972/1973,AC Milan,28,17,13,148,9,,5,,6,3,2,176,7,1,,577,50,21,20,213
1973/1974,AC Milan,26,6,3,390,8,,2,,5,1,,422,7,2,,279,46,9,5,449
1974/1975,AC Milan,27,3,7,810,,,,,4,,2,,,,,,31,3,9,930
1975/1976,AC Milan,14,1,2,1155,3,,2,,5,1,,415,,,,,22,2,4,912
1976/1977,AC Milan,27,4,6,600,5,,1,,7,,3,,,,,,39,4,10,854
1977/1978,AC Milan,30,5,6,536,1,,,,5,1,1,450,,,,,36,6,7,537
1978/1979,AC Milan,13,1,3,1115,5,,,,4,1,1,339,,,,,22,2,4,900
