SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1927/1928,Inter Milan,,,,,,,,,,,,,,,,,,,,
1928/1929,Inter Milan,,,,,,,,,,,,,,,,,,,,
1929/1930,Inter Milan,33,31,,96,,,,,,,,,5,6,,75,38,37,,92
1929/1930,Inter Milan,,,,,,,,,,,,,,,,,,,,
1930/1931,Inter Milan,34,25,,122,,,,,,,,,5,5,,90,39,30,,117
1931/1932,Inter Milan,28,20,,126,,,,,,,,,3,1,,270,31,21,,133
1932/1933,Inter Milan,32,19,,152,,,,,,,,,6,5,,108,38,24,,143
1933/1934,Inter Milan,32,21,,137,,,,,,,,,8,5,,156,40,26,,141
1934/1935,Inter Milan,30,18,,150,,,,,,,,,3,5,,54,33,23,,129
1935/1936,Inter Milan,29,25,,104,,,,,,,,,5,1,,450,34,26,,118
1936/1937,Inter Milan,27,11,,221,,,,,,,,,4,2,,180,31,13,,215
1937/1938,Inter Milan,26,21,,111,,,,,,,,,8,3,,250,34,24,,129
1938/1939,Inter Milan,15,4,,338,,,,,,,,,5,,,,20,4,,450
1939/1940,AC Milan,,,,,,,,,,,,,1,,,,1,,,
1940/1941,AC Milan,15,6,,225,,,,,,,,,,,,,15,6,,225
1941/1942,AC Milan,23,3,,690,,,,,,,,,,,,,23,3,,690
1942/1943,Juventus,27,10,,243,,,,,,,,,,,,,27,10,,243
1945/1946,Atalanta,,,,,,,,,,,,,,,,,,,,
1946/1947,Inter Milan,17,2,,765,,,,,,,,,,,,,17,2,,765
