SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1958/1959,Chesterfield,,,,,,,,,,,,,,,,,,,,
1959/1960,Leicester,31,,,,,,,,,,,,,,,,31,,,
1960/1961,Leicester,40,,,,,,,,1,,,,,,,,41,,,
1961/1962,Leicester,41,,,,2,,,,,,,,,,,,43,,,
1962/1963,Leicester,38,,,,,,,,1,,,,4,,,,43,,,
1963/1964,Leicester,36,,,,,,,,,,,,9,,,,45,,,
1964/1965,Leicester,38,,,,,,,,4,,,,6,,,,48,,,
1965/1966,Leicester,32,,,,,,,,,,,,10,,,,42,,,
1966/1967,Stoke City,4,,,,,,,,,,,,1,,,,5,,,
1966/1967,Leicester,36,,,,,,,,,,,,7,,,,43,,,
1967/1968,Stoke City,39,,,,,,,,,,,,8,,,,47,,,
1968/1969,Stoke City,30,,,,,,,,1,,,,7,,,,38,,,
1969/1970,Stoke City,38,,,,,,,,,,,,10,,,,48,,,
1970/1971,Stoke City,40,,,,,,,,1,,,,5,,,,46,,,
1971/1972,Stoke City,36,,,,,,,,19,,,,6,,,,61,,,
1972/1973,Stoke City,8,,,,,,,,2,,,,,,,,10,,,
1977,FL Strikers,,,,,,,,,,,,,,,,,,,,
1978,FL Strikers,,,,,,,,,,,,,,,,,,,,
