SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1963/1964,M'gladbach,,,,,,,,,,,,,,,,,,,,
1964/1965,M'gladbach,,,,,,,,,,,,,,,,,,,,
1965/1966,M'gladbach,31,13,,215,,,,,2,1,,210,3,,,,36,14,,234
1966/1967,M'gladbach,31,11,,254,,,,,1,,,,2,,,,34,11,,278
1967/1968,M'gladbach,34,13,,235,,,,,3,,,,4,,,,41,13,,280
1968/1969,M'gladbach,27,10,,241,,,,,2,,,,4,,,,33,10,,293
1969/1970,M'gladbach,29,6,,419,,,,,3,,,,1,,,,33,6,,484
1970/1971,M'gladbach,32,9,,315,4,2,,195,3,1,,300,8,3,,223,47,15,,280
1971/1972,M'gladbach,28,16,,157,4,,,,4,1,,360,8,2,,360,44,19,,208
1972/1973,M'gladbach,18,3,,506,9,3,,240,16,10,,136,1,1,,90,44,17,,217
1973/1974,Real Madrid,25,,,,1,,,,,,,,4,,,,30,,,
1974/1975,Real Madrid,31,7,,387,6,3,,190,,,,,1,,,,38,10,,337
1975/1976,Real Madrid,29,2,,1187,8,1,,750,,,,,1,,,,38,3,,1071
1976/1977,Grasshops,,,,,,,,,,,,,,,,,,,,
