SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1970/1971,Rapid Vienne,4,,,,,,,,2,,,,,,,,6,,,
1971/1972,Wiener AC,,,,,,,,,,,,,,,,,,,,
1972/1973,Rapid Vienne,30,13,,195,4,1,,315,8,6,,111,1,,,,43,20,,180
1973/1974,Rapid Vienne,31,36,,78,4,1,,360,6,5,,103,6,1,,528,47,43,,97
1974/1975,Rapid Vienne,33,17,,170,4,1,,360,3,,,,5,3,,150,45,21,,189
1975/1976,Rapid Vienne,35,20,,158,2,1,,180,6,5,,108,6,3,,180,49,29,,152
1976/1977,Rapid Vienne,34,32,,96,2,1,,180,1,2,,45,9,12,,68,46,47,,88
1977/1978,Rapid Vienne,36,41,,78,2,,,,3,1,,270,13,6,,195,54,48,,100
1978/1979,FC Barcelona,30,29,,93,9,5,,174,2,1,,210,5,2,,225,46,37,,114
1979/1980,First Vienna,17,13,,118,,,,,,,,,2,,,,19,13,,129
1979/1980,FC Barcelona,9,2,,392,3,4,,62,,,,,3,2,,94,15,8,,152
1980/1981,Rapid Vienne,18,16,,101,,,,,1,,,,3,2,,135,22,18,,110
1980/1981,FC Barcelona,7,3,,198,1,,,,,,,,3,1,,270,11,4,,238
1981/1982,Rapid Vienne,32,20,,144,6,3,,180,2,1,,180,9,2,,395,49,26,,169
1982/1983,Rapid Vienne,26,23,,100,4,4,,90,7,9,,73,2,,,,39,36,,97
1983/1984,Rapid Vienne,27,17,,143,6,1,,540,7,8,,79,1,,,,41,26,,142
1984/1985,Rapid Vienne,25,14,,156,8,4,,180,7,13,,51,1,,,,41,31,,118
1985/1986,Wiener SC,,,,,,,,,13,7,,162,,,,,13,7,,162
1985/1986,Rapid Vienne,17,18,,81,3,1,,270,1,1,,90,,,,,21,20,,91
1986/1987,Wiener SC,27,20,,122,,,,,,,,,,,,,27,20,,122
1987/1988,Wiener SC,33,20,,143,,,,,1,,,,,,,,34,20,,148
1988/1989,Casino,,,,,,,,,13,8,,146,,,,,13,8,,146
1988/1989,Krems,,,,,,,,,,,,,,,,,,,,
