SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1951/1952,RW Essen,,,,,,,,,,,,,2,1,,180,2,1,,180
1952/1953,RW Essen,,,,,,,,,,,,,4,1,,360,4,1,,360
1953/1954,RW Essen,,,,,,,,,,,,,8,5,,144,8,5,,144
1954/1955,RW Essen,,,,,,,,,,,,,2,,,,2,,,
1955/1956,RW Essen,,,,,,,,,,,,,2,,,,2,,,
1956/1957,RW Essen,,,,,,,,,,,,,4,2,,180,4,2,,180
1957/1958,RW Essen,,,,,,,,,,,,,6,6,1,90,6,6,1,90
1958/1959,RW Essen,,,,,,,,,,,,,6,4,,135,6,4,,135
1959/1960,FC Köln,36,15,,216,,,,,,,,,6,2,,270,42,17,,222
1960/1961,FC Köln,,,,,,,,,,,,,,,,,,,,
1961/1962,FC Twente,,,,,,,,,,,,,,,,,,,,
1962/1963,FC Twente,,,,,,,,,,,,,,,,,,,,
1963/1964,Duisburg,18,8,,201,,,,,,,,,,,,,18,8,,201
1964/1965,Duisburg,1,,,,,,,,,,,,,,,,1,,,
