SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1979,SKA Odessa,,,,,,,,,,,,,,,,,,,,
1980,SKA Odessa,,,,,,,,,,,,,,,,,,,,
1981,Chornomorets,,,,,,,,,,,,,,,,,,,,
1982,Chornomorets,,,,,,,,,,,,,,,,,,,,
1983,Chornomorets,1,,,,,,,,1,,,,,,,,2,,,
1984,Chornomorets,33,11,,253,,,,,,,,,,,,,33,11,,253
1985,Dynamo Kyiv,31,10,,214,4,1,,139,4,2,,121,2,,,,41,13,,200
1986,Dynamo Kyiv,22,10,,180,8,4,,154,1,,,,6,6,4,82,37,20,4,147
1987,Dynamo Kyiv,23,8,,234,6,1,,407,6,3,,155,4,2,,151,39,14,,218
1988,Dynamo Kyiv,27,6,,380,,,,,4,1,,336,7,,,,38,7,,446
1989,Dynamo Kyiv,17,2,,623,,,,,4,1,,340,1,,,,22,3,,543
1989/1990,M'gladbach,14,4,,269,,,,,,,,,1,,,,15,4,,292
1990/1991,Braunschweig,,,,,,,,,,,,,,,,,,,,
1990/1991,M'gladbach,9,,,,,,,,,,,,,,,,9,,,
1991/1992,Braunschweig,,,,,,,,,,,,,,,,,,,,
1992/1993,Braunschweig,,,,,,,,,,,,,,,,,,,,
1993/1994,Braunschweig,,,,,,,,,,,,,,,,,,,,
1994/1995,Braunschweig,,,,,,,,,,,,,,,,,,,,
1995/1996,Metalurh M,,,,,,,,,,,,,,,,,,,,
1995/1996,Chornomorets,,,,,,,,,,,,,,,,,,,,
1996/1997,Metalurh M,,,,,,,,,,,,,,,,,,,,
