SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1963,Botafogo,2,,,,2,1,,167,21,6,,315,,,,,25,7,,320
1964,Botafogo,,,,,,,,,33,17,,169,1,1,,90,34,18,,165
1965,Botafogo,,,,,,,,,33,14,,208,6,,,,39,14,,238
1966,Botafogo,,,,,,,,,13,7,,163,10,,1,,23,7,1,287
1967,Botafogo,,,,,,,,,11,5,,183,,,,,11,5,,183
1967,Botafogo,,,,,,,,,,,,,,,,,,,,
1968/1969,Botafogo,10,2,,419,,,,,36,18,,175,23,14,,137,69,34,,174
1969,Botafogo,11,2,,427,,,,,,,,,,,,,11,2,,427
1970,Botafogo,8,2,,329,,,,,12,9,,113,14,11,1,109,34,22,1,131
1971,Botafogo,10,5,,174,,,,,14,6,,205,,,,,24,11,,191
1972,Botafogo,17,8,,180,,,,,17,9,,166,5,3,,150,39,20,,169
1973,Botafogo,13,5,,216,10,4,,202,8,4,,156,6,2,,270,37,15,,203
1974,Botafogo,,,,,,,,,,,,,14,4,1,311,14,4,1,311
1974/1975,Marseille,18,9,,172,,,,,7,4,,165,2,,,,27,13,,184
1975/1976,Kaizer Chiefs,,,,,,,,,,,,,,,,,,,,
1976,Cruzeiro,8,3,,240,14,12,,102,6,1,,540,,,,,28,16,,156
1977,Portuguesa,12,20,,54,6,1,,449,,,,,,,,,18,21,,73
1978,Noroeste,10,2,,419,,,,,,,,,,,,,10,2,,419
1979,Noroeste,,,,,,,,,,,,,,,,,,,,
1980,Wilstermann,,,,,6,3,,180,,,,,,,,,6,3,,180
1981,Botafogo,,,,,,,,,14,,,,,,,,14,,,
1982,9 de Octubre,,,,,,,,,,,,,1,,,,1,,,
