SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1974/1975,SO Cassis,,,,,,,,,,,,,,,,,,,,
1975/1976,Toulon,24,1,,1839,,,,,2,,,,,,,,26,1,,1975
1976/1977,Toulon,27,3,,745,,,,,1,,,,,,,,28,3,,785
1977/1978,Toulon,26,6,,373,,,,,1,,,,,,,,27,6,,388
1978/1979,Lyon,36,3,,1065,,,,,3,1,,270,,,,,39,4,,866
1979/1980,Lyon,33,5,,577,,,,,3,,,,1,,,,37,5,,655
1980/1981,Lyon,35,7,1,441,,,,,1,1,,120,6,,4,,42,8,5,455
1981/1982,Bordeaux,27,1,,2407,1,,,,7,1,,585,10,,2,,45,2,2,1879
1982/1983,Bordeaux,32,2,1,1393,5,,,,4,,,,7,,2,,48,2,3,2063
1983/1984,Bordeaux,32,1,,2762,1,,,,5,,,,9,,3,,47,1,3,4142
1984/1985,Bordeaux,28,3,,840,6,,,,3,,,,4,,,,41,3,,1253
1985/1986,Bordeaux,32,2,,1397,2,,,,11,2,1,488,10,1,1,923,55,5,2,974
1986/1987,Bordeaux,37,,,,8,,,,11,,,,4,,,,60,,,
1987/1988,Bordeaux,30,1,,2631,5,,,,,,,,,,,,35,1,,2991
1988/1989,Bordeaux,33,1,,2925,6,,,,,,,,1,,1,,40,1,1,3555
1989/1990,Marseille,37,,4,,8,,,,4,,1,,,,,,49,,5,
1990/1991,Marseille,19,,,,5,1,1,390,3,,,,,,,,27,1,1,2298
