SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1980/1981,Valenciennes B,,,,,,,,,,,,,,,,,,,,
1981/1982,INF Vichy,,,,,,,,,,,,,,,,,,,,
1982/1983,INF Vichy,,,,,,,,,1,,,,,,,,1,,,
1983/1984,INF Vichy,1,,,,,,,,,,,,,,,,1,,,
1984/1985,Valenciennes,33,15,,195,,,,,1,1,,120,,,,,34,16,,191
1985/1986,Club Brugge,32,21,,137,4,5,,72,,,,,5,2,,219,41,28,,131
1986/1987,Marseille,33,13,1,227,,,,,7,1,,628,4,,,,44,14,1,269
1987/1988,Marseille,37,19,,171,8,4,,164,1,,,,4,,,,50,23,,181
1988/1989,Marseille,36,22,,146,,,,,10,11,,78,6,1,1,463,52,34,1,133
1989/1990,Marseille,36,30,2,106,8,6,1,120,4,2,,195,5,4,,98,53,42,3,112
1990/1991,Marseille,36,23,1,140,9,6,1,140,5,7,,69,5,6,,75,55,42,2,119
1991/1992,Marseille,37,27,2,121,4,7,,51,4,4,,90,9,9,2,87,54,47,4,101
1992/1993,AC Milan,22,13,1,127,7,3,,177,5,4,,103,7,4,1,158,41,24,2,134
1993/1994,AC Milan,18,5,,285,9,6,,136,2,,,,7,3,1,203,36,14,1,216
1994/1995,Bayern Munich,7,1,,560,3,2,,102,2,,,,2,1,,157,14,4,,267
1995/1996,Bayern Munich,20,2,,490,6,1,,372,2,,,,,,,,28,3,,480
1996/1997,Bordeaux,32,16,,139,,,,,8,1,,544,,,,,40,17,,162
1997/1998,Bordeaux,23,6,,241,2,,,,7,8,,47,,,,,32,14,,140
1998/1999,Guingamp,10,3,,270,,,,,,,,,,,,,10,3,,270
1999,Saint-Pierroise,1,,,,,,,,,,,,,,,,1,,,
2000,Saint-Pierroise,,,,,,,,,,,,,,,,,,,,
