SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1964/1965,Ajax,10,4,2,217,,,,,,,,,,,,,10,4,2,217
1965/1966,Ajax,19,15,2,111,,,,,4,9,,40,,,,,23,24,2,84
1966/1967,Ajax,30,33,10,80,6,3,,180,5,5,3,105,2,1,,167,43,42,13,92
1967/1968,Ajax,33,26,13,114,2,1,,210,5,6,,75,4,1,,360,44,34,13,117
1968/1969,Ajax,29,24,12,105,10,6,,144,3,3,1,90,1,1,,90,43,34,13,110
1969/1970,Ajax,33,23,16,128,8,4,,188,5,6,1,75,3,,,,49,33,17,134
1970/1971,Ajax,25,21,6,98,6,1,,524,6,5,1,101,2,4,,45,39,31,7,105
1971/1972,Ajax,32,25,,113,9,5,,162,4,3,5,120,5,6,,75,50,39,5,114
1972/1973,Ajax,26,16,,134,10,6,,132,,,,,4,4,,90,40,26,,127
1973/1974,FC Barcelona,26,16,,143,,,,,,,,,12,4,3,261,38,20,3,167
1973/1974,Ajax,2,3,4,53,,,,,,,,,2,4,,45,4,7,4,48
1974/1975,FC Barcelona,30,7,,374,8,,,,,,,,3,5,,54,41,12,,301
1975/1976,FC Barcelona,29,6,,432,9,2,,395,,,,,5,1,,480,43,9,,429
1976/1977,FC Barcelona,29,13,,189,7,5,,126,,,,,3,2,,135,39,20,,168
1977/1978,FC Barcelona,25,5,,424,10,5,,190,7,1,,575,2,,,,44,11,,346
1979,LA Aztecs,27,14,,174,,,,,,,,,,,,,27,14,,174
1980,Diplomats,27,10,,243,,,,,,,,,,,,,27,10,,243
1980/1981,Levante,10,2,,415,,,,,2,,,,,,,,12,2,,488
1981,Diplomats,5,2,,196,,,,,,,,,,,,,5,2,,196
1981/1982,Ajax,15,7,,180,,,,,1,,,,,,,,16,7,,193
1982/1983,Ajax,21,7,,255,2,,,,7,2,2,300,,,,,30,9,2,284
1983/1984,Feyenoord,33,11,,256,4,1,,360,7,1,,523,,,,,44,13,,285
