SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1949/1950,Leeds United,,,,,,,,,,,,,1,,,,1,,,
1950/1951,Leeds United,,,,,,,,,,,,,1,,,,1,,,
1951/1952,Leeds United,,,,,,,,,,,,,,,,,,,,
1952/1953,Leeds United,,,,,,,,,,,,,3,2,,135,3,2,,135
1953/1954,Leeds United,,,,,,,,,,,,,4,3,,120,4,3,,120
1954/1955,Leeds United,,,,,,,,,,,,,4,5,,72,4,5,,72
1955/1956,Leeds United,,,,,,,,,,,,,4,,,,4,,,
1956/1957,Leeds United,40,38,,95,,,,,1,1,,90,6,1,,540,47,40,,106
1957/1958,Juventus,34,28,,109,,,,,2,1,,180,6,1,,540,42,30,,126
1958/1959,Juventus,29,19,,137,2,,,,6,5,,120,,,,,37,24,,141
1959/1960,Juventus,34,23,,133,,,,,3,3,,100,1,1,,90,38,27,,128
1960/1961,Juventus,32,15,,192,2,,,,3,1,,270,,,,,37,16,,208
1961/1962,Juventus,21,8,,236,6,,,,4,2,,180,4,1,,360,35,11,,286
1962/1963,AS Roma,,,,,,,,,,,,,,,,,,,,
1962/1963,Leeds United,,,,,,,,,,,,,1,1,,90,1,1,,90
1963/1964,Cardiff City,,,,,,,,,,,,,1,,,,1,,,
1964/1965,Cardiff City,,,,,,,,,,,,,2,,,,2,,,
1965/1966,Cardiff City,,,,,,,,,,,,,,,,,,,,
1966/1967,Hereford,,,,,,,,,,,,,,,,,,,,
