SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1981/1982,Kickers,,,,,,,,,,,,,,,,,,,,
1982/1983,Kickers,17,2,,464,,,,,1,1,,90,,,,,18,3,,339
1983/1984,Kickers,35,19,,163,,,,,2,2,,90,,,,,37,21,,156
1984/1985,Stuttgart,32,15,,187,2,,,,4,2,,194,,,,,38,17,,195
1985/1986,Stuttgart,33,16,,174,,,,,6,4,,109,,,,,39,20,,161
1986/1987,Stuttgart,32,17,,156,4,1,,352,1,2,,60,,,,,37,20,,156
1987/1988,Stuttgart,34,19,,161,,,,,1,,,,9,2,,402,44,21,,188
1988/1989,Stuttgart,25,13,,165,8,4,,169,4,2,,195,3,,,,40,19,,176
1989/1990,Inter Milan,32,13,,215,2,,,,4,2,,180,13,5,1,226,51,20,1,223
1990/1991,Inter Milan,33,14,,206,12,3,,370,4,,,,7,2,,286,56,19,,260
1991/1992,Inter Milan,31,7,,385,1,,,,5,1,,405,9,1,1,585,46,9,1,420
1992/1993,Monaco,35,19,,164,4,,,,2,,,,10,7,,117,51,26,,174
1993/1994,Monaco,30,10,1,249,10,4,1,225,3,2,,150,13,8,,127,56,24,2,196
1994/1995,Tottenham,41,20,,181,,,,,9,9,,93,9,6,,135,59,35,,151
1994/1995,Monaco,,,,,,,,,,,,,1,,,,1,,,
1995/1996,Bayern Munich,32,16,,170,12,15,,72,1,,,,15,8,1,148,60,39,1,130
1996/1997,Bayern Munich,33,15,,180,2,,,,4,2,,180,8,2,,360,47,19,,208
1997/1998,Tottenham,15,9,,142,,,,,3,,,,8,4,1,151,26,13,1,165
1997/1998,Sampdoria,8,2,,249,1,,,,1,,,,3,2,,135,13,4,,232
2003,Orange County BS,,,,,,,,,,,,,,,,,,,,
