SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2000,São Paulo,,,,,,,,,,,,,,,,,,,,
2001,São Paulo,27,12,,161,5,,,,21,6,,287,,,,,53,18,,221
2002,São Paulo,22,9,,212,,,,,27,13,,170,5,1,,208,54,23,,188
2003,São Paulo,10,2,,419,,,,,12,5,,216,5,3,,156,27,10,,238
2003/2004,AC Milan,30,10,4,223,11,4,,214,4,,,,11,3,,231,56,17,4,230
2004/2005,AC Milan,36,7,9,416,13,2,6,537,2,,,,11,4,,218,62,13,15,382
2005/2006,AC Milan,35,14,2,182,12,5,1,197,2,,,,12,4,1,238,61,23,4,200
2006/2007,AC Milan,31,8,6,332,15,10,4,132,2,,,,10,5,,133,58,23,10,210
2007/2008,AC Milan,30,15,6,170,11,4,3,248,,,,,7,4,,137,48,23,9,178
2008/2009,AC Milan,31,16,9,160,4,,1,,1,,1,,5,2,,212,41,18,11,187
2009/2010,Real Madrid,25,8,6,225,7,1,2,603,1,,,,18,3,5,480,51,12,13,328
2010/2011,Real Madrid,14,7,3,115,3,,1,,3,,,,,,,,20,7,4,141
2011/2012,Real Madrid,27,5,8,276,8,3,4,148,5,,,,,,,,40,8,12,257
2012/2013,Real Madrid,19,3,2,320,6,1,1,250,2,1,,116,5,2,2,174,32,7,5,239
2013/2014,AC Milan,30,7,4,343,6,2,1,246,1,,,,,,,,37,9,5,331
2014,São Paulo,19,2,1,785,5,1,2,383,,,,,2,,1,,26,3,4,659
2015,Orlando City,28,9,6,271,,,,,2,1,,175,2,,,,32,10,6,265
2016,Orlando City,24,9,9,217,,,,,,,,,1,,,,25,9,9,218
2017,Orlando City,23,6,4,261,,,,,1,,,,,,,,24,6,4,265
