SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1974/1975,Bayern Munich,21,5,1,274,4,,,,3,1,,204,,,,,28,6,1,285
1975/1976,Bayern Munich,32,8,3,343,11,3,,330,7,2,,330,,,,,50,13,3,338
1976/1977,Bayern Munich,31,12,,233,10,1,1,893,5,1,,413,6,,,,52,14,1,323
1977/1978,Bayern Munich,29,8,6,318,6,6,4,90,3,,,,11,4,,236,49,18,10,235
1978/1979,Bayern Munich,34,14,8,214,,,,,2,,,,7,2,,282,43,16,8,234
1979/1980,Bayern Munich,34,26,4,115,10,5,2,186,3,5,,54,11,7,,136,58,43,6,120
1980/1981,Bayern Munich,34,29,,106,8,6,,109,3,4,,68,9,2,,405,54,41,,117
1981/1982,Bayern Munich,32,14,,203,9,6,,123,7,7,,88,15,16,,72,63,43,,124
1982/1983,Bayern Munich,34,20,,152,6,1,,540,2,,,,8,6,,120,50,27,,167
1983/1984,Bayern Munich,29,26,,95,6,2,1,197,7,4,,169,11,4,,248,53,36,1,126
1984/1985,Inter Milan,26,8,,292,9,5,,162,9,5,2,159,5,3,,135,49,21,2,207
1985/1986,Inter Milan,24,13,,162,9,3,,277,6,2,,270,12,2,,378,51,20,,212
1986/1987,Inter Milan,14,3,,370,5,1,,386,5,2,,225,,,,,24,6,,324
1987/1988,Servette,19,10,,158,,,,,3,4,,75,,,,,22,14,,134
1988/1989,Servette,33,25,,118,4,,,,,,,,,,,,37,25,,132
