SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1968/1969,Scunthorpe,,,,,,,,,,,,,,,,,,,,
1969/1970,Scunthorpe,,,,,,,,,,,,,,,,,,,,
1970/1971,Scunthorpe,,,,,,,,,,,,,,,,,,,,
1971/1972,Liverpool,35,9,,350,3,,,,4,2,,180,,,,,42,11,,342
1972/1973,Liverpool,41,13,,284,11,4,,232,12,5,,222,2,,,,66,22,,269
1973/1974,Liverpool,42,12,,311,4,,,,15,7,,193,6,2,,270,67,21,,285
1974/1975,Liverpool,33,10,,297,3,1,,270,6,1,,509,6,1,,516,48,13,,328
1975/1976,Liverpool,41,12,,308,11,3,,330,5,1,,450,9,3,,267,66,19,,312
1976/1977,Liverpool,38,12,,285,8,4,,180,11,4,1,248,6,1,,540,63,21,1,270
1977/1978,Hambourg,25,6,,375,6,2,,270,4,4,,90,8,2,,350,43,14,,275
1978/1979,Hambourg,34,17,,180,,,,,1,,,,9,6,,131,44,23,,173
1979/1980,Hambourg,31,9,,295,9,2,,405,3,,,,8,4,,180,51,15,,297
1980/1981,Southampton,27,11,,202,,,,,5,1,,423,3,1,,270,35,13,,224
1981/1982,Southampton,41,26,,142,4,2,,180,3,2,,150,6,1,,442,54,31,,155
1982/1983,Newcastle,37,21,3,158,,,,,4,,,,,,,,41,21,3,176
1983/1984,Newcastle,41,27,13,137,,,,,3,1,,270,,,,,44,28,13,141
1985,Blacktown City,2,1,,180,,,,,,,,,,,,,2,1,,180
