SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1948,Klubnaya,,,,,,,,,,,,,,,,,,,,
1949,Klubnaya,,,,,,,,,,,,,,,,,,,,
1950,Dinamo Moscow,2,,,,,,,,,,,,,,,,2,,,
1951,Dinamo-2,,,,,,,,,,,,,,,,,,,,
1952,Dinamo-2,,,,,,,,,,,,,,,,,,,,
1953,Dinamo Moscow,12,,,,,,,,5,,,,,,,,17,,,
1954,Dinamo Moscow,24,,,,,,,,1,,,,2,,,,27,,,
1955,Dinamo Moscow,22,,,,,,,,4,,,,4,,,,30,,,
1956,Dinamo Moscow,19,,,,,,,,,,,,4,,,,23,,,
1957,Dinamo Moscow,12,,,,,,,,,,,,5,,,,17,,,
1958,Dinamo Moscow,6,,,,,,,,,,,,6,,,,12,,,
1959,Dinamo Moscow,19,,,,,,,,1,,,,2,,,,22,,,
1960,Dinamo Moscow,18,,,,,,,,1,,,,5,,,,24,,,
1961,Dinamo Moscow,19,,,,,,,,2,,,,5,,,,26,,,
1962,Dinamo Moscow,17,,,,,,,,,,,,8,,,,25,,,
1963,Dinamo Moscow,27,,,,,,,,2,,,,4,,,,33,,,
1964,Dinamo Moscow,28,,,,,,,,3,,,,8,,,,39,,,
1965,Dinamo Moscow,20,,,,,,,,,,,,3,,,,23,,,
1966,Dinamo Moscow,8,,,,,,,,,,,,7,,,,15,,,
1967,Dinamo Moscow,21,,,,,,,,6,,,,5,,,,32,,,
1968,Dinamo Moscow,17,,,,,,,,2,,,,1,,,,20,,,
1969,Dinamo Moscow,22,,,,,,,,2,,,,,,,,24,,,
1970,Dinamo Moscow,13,,,,,,,,3,,,,,,,,16,,,
1971,Dinamo Moscow,,,,,,,,,,,,,,,,,,,,
