SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2003/2004,FC Barcelona B,5,,,,,,,,,,,,,,,,5,,,
2004/2005,FC Barcelona,7,1,,79,1,,,,1,,,,,,,,9,1,,241
2004/2005,FC Barcelona B,7,2,,315,,,,,,,,,,,,,7,2,,315
2005/2006,FC Barcelona,17,6,,152,6,1,1,322,2,1,,180,10,2,2,224,35,10,3,186
2006/2007,FC Barcelona,26,14,1,142,6,1,,476,4,2,1,144,10,4,1,196,46,21,3,168
2007/2008,FC Barcelona,28,10,4,201,9,6,,121,3,,,,10,3,1,280,50,19,5,200
2008/2009,FC Barcelona,31,23,5,109,12,9,5,103,8,6,,75,9,3,2,269,60,41,12,115
2009/2010,FC Barcelona,35,34,8,84,14,10,1,126,4,3,,100,11,1,1,976,64,48,10,112
2010/2011,FC Barcelona,33,31,18,92,13,12,3,87,9,10,2,67,11,4,5,246,66,57,28,98
2011/2012,FC Barcelona,37,50,16,65,14,17,7,74,9,6,5,116,9,9,3,90,69,82,31,74
2012/2013,FC Barcelona,32,46,12,58,11,8,2,103,7,6,1,104,12,9,3,105,62,69,18,73
2013/2014,FC Barcelona,31,28,11,89,7,8,,79,8,5,3,122,11,7,2,142,57,48,16,99
2014/2015,FC Barcelona,38,43,19,78,13,10,5,115,6,5,3,108,10,4,4,207,67,62,31,95
2015/2016,FC Barcelona,33,26,13,105,9,9,1,93,7,6,6,110,10,9,4,82,59,50,24,99
2016/2017,FC Barcelona,34,37,10,76,9,11,2,74,9,6,5,135,5,3,2,150,57,57,19,86
2017/2018,FC Barcelona,36,34,12,88,10,6,2,131,8,5,4,138,10,7,3,129,64,52,21,103
2018/2019,FC Barcelona,34,36,13,75,10,12,3,70,6,3,3,159,8,3,1,207,58,54,20,86
2019/2020,FC Barcelona,33,25,21,115,8,3,3,221,3,3,1,90,2,2,1,90,46,33,26,121
2020/2021,FC Barcelona,35,30,8,101,6,5,2,108,6,3,1,210,10,5,2,180,57,43,13,118
2021,Free,,,,,,,,,,,,,3,1,3,270,3,1,3,270
2021/2022,Paris SG,26,6,14,359,7,5,,126,1,,,,11,10,2,92,45,21,16,180
2022/2023,Paris SG,32,16,15,177,7,4,4,153,2,1,,180,13,17,5,67,54,38,24,126
2023,Inter Miami,6,1,2,373,7,10,1,56,1,,2,,5,3,,128,19,14,5,103
2024,Inter Miami,22,21,11,84,3,2,2,115,,,,,11,6,5,152,36,29,18,100
2025,Inter Miami,13,10,5,112,11,6,1,153,,,,,2,,,,26,16,6,134
