SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1962/1963,Legnano,,,,,,,,,,,,,,,,,,,,
1963/1964,Cagliari,,,,,,,,,1,,,,,,,,1,,,
1964/1965,Cagliari,32,9,,320,,,,,3,3,,100,1,,,,36,12,,272
1965/1966,Cagliari,34,11,,278,,,,,2,,,,1,,,,37,11,,303
1966/1967,Cagliari,23,18,,115,,,,,1,,,,1,,,,25,18,,123
1967/1968,Cagliari,26,13,,180,,,,,1,,,,4,7,,51,31,20,,140
1968/1969,Cagliari,29,20,,131,,,,,10,8,,113,5,5,,90,44,33,,120
1969/1970,Cagliari,28,21,,120,2,1,,117,5,4,,113,10,10,1,93,45,36,1,112
1970/1971,Cagliari,13,8,,146,3,3,,90,3,5,,54,2,,,,21,16,,117
1971/1972,Cagliari,30,21,1,129,,,,,4,3,,120,6,3,,180,40,27,1,133
1972/1973,Cagliari,26,12,,195,1,,,,6,8,,68,7,8,,73,40,28,,127
1973/1974,Cagliari,25,15,,147,,,,,2,,,,5,2,1,225,32,17,1,167
1974/1975,Cagliari,8,2,,322,,,,,2,1,,180,,,,,10,3,,274
1975/1976,Cagliari,15,6,,219,,,,,2,,,,,,,,17,6,,249
