SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1989/1990,Sporting CP,3,,,,,,,,,,,,,,,,3,,,
1990/1991,Sporting CP,,,,,,,,,,,,,,,,,,,,
1991/1992,Sporting CP,34,1,,3010,2,,,,2,,,,7,,,,45,1,,3891
1992/1993,Sporting CP,32,,,,2,,,,5,,,,8,1,,475,47,1,,3772
1993/1994,Sporting CP,31,8,,300,5,,,,6,3,,210,1,,,,43,11,,308
1994/1995,Sporting CP,29,7,,342,2,,,,5,4,,117,7,3,,201,43,14,,260
1995/1996,FC Barcelona,35,5,,566,10,3,,260,6,,,,8,1,1,592,59,9,1,511
1996/1997,FC Barcelona,36,4,4,693,8,1,,659,6,3,,176,8,2,,317,58,10,4,459
1997/1998,FC Barcelona,35,5,4,591,9,1,,797,7,1,,594,4,1,,360,55,8,4,588
1998/1999,FC Barcelona,34,7,,427,6,1,,540,5,,,,10,1,,820,55,9,,529
1999/2000,FC Barcelona,32,9,1,300,13,5,2,227,6,,,,12,6,3,166,63,20,6,268
2000/2001,Real Madrid,34,9,2,328,16,5,,281,,,,,9,7,,110,59,21,2,244
2001/2002,Real Madrid,28,7,,342,11,3,1,286,8,1,,653,11,5,1,172,58,16,2,298
2002/2003,Real Madrid,33,10,,273,17,2,1,742,1,,,,8,1,,466,59,13,1,362
2003/2004,Real Madrid,36,8,2,376,10,2,,428,8,3,1,213,17,3,2,410,71,16,5,358
2004/2005,Real Madrid,33,3,,764,10,4,3,204,,,,,2,,,,45,7,3,470
2005/2006,Inter Milan,34,5,,491,8,1,,624,3,,,,15,1,3,1118,60,7,3,628
2006/2007,Inter Milan,32,2,1,1015,7,,,,8,1,1,658,,,,,47,3,2,1047
2007/2008,Inter Milan,17,1,2,873,3,,,,2,,,,,,,,22,1,2,1162
2008/2009,Inter Milan,22,1,1,1074,3,,,,1,,,,,,,,26,1,1,1260
