SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2001,Kofu,,,,,,,,,,,,,,,,,,,,
2004,Camboriú,,,,,,,,,,,,,,,,,,,,
2012,Marília,,,,,,,,,,,,,,,,,,,,
2013,Marília,,,,,,,,,,,,,,,,,,,,
2014,Marília,,,,,,,,,,,,,,,,,,,,
2015,Matonense,,,,,,,,,,,,,,,,,,,,
2015,Marília,,,,,,15,,"13%
2",,,15,,,,,,,,,
2016,Velo Clube,,,,,,,,,,,,,,,,,,,,
2016,Rio Claro,,,,,,6,"33%
2","17%
1",,,6,"33%
2",,,,,,,,
2017,Primavera SP,,,,,,,,,,,,,,,,,,,,
2020,Imperatriz,3,,"33%
1","67%
2",,,,,,,3,,,,,,,,,
