SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2003/2004,Zrinjski,,,,,,,,,,,,,,,,,,,,
2004/2005,Dinamo Zagreb,7,,,,,,,,,,,,,,,,7,,,
2004/2005,Inter Zapresic,18,4,,382,,,,,,,,,,,,,18,4,,382
2005/2006,Dinamo Zagreb,32,8,,314,,,,,,,,,7,,,,39,8,,352
2006/2007,Dinamo Zagreb,30,6,7,419,6,,,,4,2,,180,9,3,1,270,49,11,8,382
2007/2008,Dinamo Zagreb,25,13,11,152,12,3,,380,5,1,,448,13,1,1,1086,55,18,12,258
2008/2009,Tottenham,34,3,1,925,4,1,,285,6,1,,425,6,3,,168,50,8,1,499
2009/2010,Tottenham,25,3,2,637,,,,,7,,2,,4,,,,36,3,4,959
2010/2011,Tottenham,32,3,1,931,9,1,1,607,2,,,,8,,,,51,4,2,1053
2011/2012,Tottenham,36,4,5,803,2,1,,108,3,,,,10,1,1,882,51,6,6,738
2012/2013,Real Madrid,33,3,3,727,11,1,1,597,9,,1,,8,,1,,61,4,6,995
2012/2013,Tottenham,,,,,,,,,,,,,1,,,,1,,,
2013/2014,Real Madrid,34,1,6,2645,11,1,3,968,6,,1,,12,,,,63,2,10,2476
2014/2015,Real Madrid,16,1,3,1297,7,,1,,2,,,,6,2,1,208,31,3,5,804
2015/2016,Real Madrid,32,2,4,1310,12,1,1,902,,,,,9,1,2,678,53,4,7,1050
2016/2017,Real Madrid,25,1,2,1911,14,,1,,2,,,,4,,1,,45,1,4,3597
2017/2018,Real Madrid,26,1,6,1969,14,1,2,1225,3,,,,16,3,3,488,59,5,11,959
2018/2019,Real Madrid,34,3,6,866,9,1,1,710,3,,,,9,,1,,55,4,8,1064
2019/2020,Real Madrid,31,3,7,665,6,1,,391,3,1,,241,5,2,1,213,45,7,8,436
2020/2021,Real Madrid,35,5,3,547,12,1,3,912,1,,,,15,2,2,548,63,8,8,601
2021/2022,Real Madrid,28,2,8,1017,13,,4,,4,1,,311,10,4,2,162,55,7,14,581
2022/2023,Real Madrid,33,4,3,439,13,2,1,485,6,,2,,14,2,2,616,66,8,8,549
2023/2024,Real Madrid,32,2,6,843,11,,,,3,,1,,12,2,2,454,58,4,9,789
2024/2025,Real Madrid,35,2,6,914,20,,3,,6,2,,183,10,2,1,396,71,6,10,624
