SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1980/1981,Elinkwijk,,,,,,,,,,,,,,,,,,,,
1981/1982,Ajax,1,1,,45,,,,,,,,,,,,,1,1,,45
1982/1983,Ajax,20,8,,136,,,,,5,1,,314,,,,,25,9,,156
1983/1984,Ajax,26,28,,80,2,,,,3,3,,100,3,2,,113,34,33,,90
1984/1985,Ajax,32,22,,129,4,5,,78,1,,,,5,1,,420,42,28,,133
1985/1986,Ajax,26,37,1,60,2,,,,6,2,,216,3,1,,270,37,40,1,78
1986/1987,Ajax,27,30,,76,9,6,,133,7,7,,90,5,2,,225,48,45,,93
1987/1988,AC Milan,11,3,,189,3,,,,5,5,,90,8,5,1,118,27,13,1,142
1988/1989,AC Milan,33,19,,154,9,9,,93,5,4,,101,6,2,,270,53,34,,139
1989/1990,AC Milan,26,19,,123,10,4,1,240,4,1,,345,9,2,1,358,49,26,2,167
1990/1991,AC Milan,31,11,1,248,3,,,,1,,,,7,8,,77,42,19,1,194
1991/1992,AC Milan,31,25,2,105,,,,,7,4,,141,9,1,,750,47,30,2,131
1992/1993,AC Milan,15,13,1,97,5,6,,72,2,1,,180,3,,,,25,20,1,107
1993/1994,AC Milan,,,,,,,,,,,,,,,,,,,,
1994/1995,AC Milan,,,,,,,,,,,,,,,,,,,,
