SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1972,Instituto,,,,,,,,,,,,,,,,,,,,
1973,Instituto,13,11,,106,,,,,,,,,1,,,,14,11,,112
1974,Rosario,33,28,,106,6,3,,113,2,1,,180,10,4,2,177,51,36,2,116
1975,Rosario,49,38,,115,8,4,,175,,,,,4,3,,108,61,45,,120
1976,Rosario,22,21,,94,,,,,,,,,9,7,,107,31,28,,97
1976/1977,Valencia CF,34,24,,124,,,,,,,,,,,,,34,24,,124
1977/1978,Valencia CF,33,28,,104,,,,,12,11,2,81,7,6,1,110,52,45,3,99
1978/1979,Valencia CF,30,12,,224,6,3,,180,10,3,,310,,,,,46,18,,231
1979/1980,Valencia CF,32,22,,129,9,9,1,93,2,2,,90,,,,,43,33,1,117
1980/1981,Valencia CF,12,9,,113,5,2,,169,1,,,,1,,,,19,11,,138
1981,River Plate,29,15,,166,3,1,,188,,,,,2,,,,34,16,,179
1982,River Plate,,,,,,,,,,,,,8,,1,,8,,1,
1982/1983,Valencia CF,27,13,,176,8,,,,1,,,,1,,,,37,13,,236
1983/1984,Valencia CF,15,8,,128,,,,,4,3,,101,,,,,19,11,,121
1984/1985,Hércules CF,17,1,,1398,,,,,2,,,,,,,,19,1,,1552
1985/1986,First Vienna,,,,,,,,,6,1,,537,,,,,6,1,,537
1985/1986,Hércules CF,21,9,,184,,,,,2,1,,180,,,,,23,10,,183
1986/1987,First Vienna,20,7,,252,,,,,16,5,,264,,,,,36,12,,257
1987/1988,St. Pölten,,,,,,,,,15,6,,228,,,,,15,6,,228
1988/1989,St. Pölten,29,9,,273,,,,,2,1,,210,,,,,31,10,,267
1989/1990,St. Pölten,35,15,,207,,,,,2,1,,180,,,,,37,16,,205
1990/1991,Krems,21,5,,378,,,,,15,4,,315,,,,,36,9,,350
1991/1992,Krems,18,2,,788,,,,,12,4,,256,,,,,30,6,,433
1995/1996,Pelita,,,,,,,,,,,,,,,,,,,,
