SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1981,KB Copenhague,,,,,4,,,,,,,,,,,,4,,,
1982,Bröndby,28,15,,168,,,,,,,,,3,2,,113,31,17,,161
1983,Bröndby,15,8,,169,,,,,,,,,1,2,,45,16,10,,144
1983/1984,Lazio,30,8,,333,,,,,5,,,,13,6,,171,48,14,,294
1984/1985,Lazio,30,1,,2583,,,,,5,3,1,145,6,5,,108,41,9,1,395
1985/1986,Juventus,29,7,,361,6,2,,274,6,2,,213,12,3,1,348,53,14,1,325
1986/1987,Juventus,20,3,,549,4,5,,66,6,1,,396,3,,,,33,9,,289
1987/1988,Juventus,27,,,,4,2,,158,8,2,,302,10,1,,788,49,5,,778
1988/1989,Juventus,26,6,,355,8,3,,224,7,2,,315,8,4,,180,49,15,,277
1989/1990,FC Barcelona,33,2,,1408,4,1,,360,6,,,,6,1,,519,49,4,,1059
1990/1991,FC Barcelona,30,9,,272,7,,,,6,2,,250,3,2,,130,46,13,,286
1991/1992,FC Barcelona,36,12,,252,11,3,1,325,3,2,,150,,,,,50,17,1,253
1992/1993,FC Barcelona,37,10,,314,6,,,,6,4,1,118,,,,,49,14,1,296
1993/1994,FC Barcelona,31,5,2,445,6,1,,540,3,,,,8,3,,240,48,9,2,409
1994/1995,Real Madrid,33,4,1,662,5,2,,225,2,1,,180,9,2,,373,49,9,1,447
1995/1996,Real Madrid,28,8,,263,7,,,,1,,,,6,4,,131,42,12,,269
1996,Vissel Kobe,,,,,,,,,,,,,6,,1,,6,,1,
1997,Vissel Kobe,3,,,,,,,,6,1,,540,,,,,9,1,,765
1997/1998,Ajax,21,10,9,161,5,2,,191,4,,,,11,2,3,455,41,14,12,226
