SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1996/1997,Liverpool,2,1,,124,,,,,,,,,,,,,2,1,,124
1997/1998,Liverpool,36,18,,167,4,1,,287,4,4,,96,9,3,,172,53,26,,161
1998/1999,Liverpool,30,18,,140,6,2,,234,4,3,,114,4,1,,335,44,24,,153
1999/2000,Liverpool,27,11,,166,,,,,3,1,,255,9,3,,156,39,15,,170
2000/2001,Liverpool,28,16,,112,11,4,,193,7,4,,111,7,3,1,167,53,27,1,130
2001/2002,Liverpool,29,19,,117,11,6,1,158,3,3,,85,12,8,,97,55,36,1,117
2002/2003,Liverpool,35,19,,149,12,7,,146,7,2,,285,9,4,,164,63,32,,159
2003/2004,Liverpool,29,16,,155,6,2,,255,3,1,,270,10,4,2,193,48,23,2,175
2004/2005,Real Madrid,36,13,,145,5,1,,175,4,2,,180,10,6,2,147,55,22,2,150
2005/2006,Newcastle,11,7,,126,,,,,,,,,10,4,,168,21,11,,141
2005/2006,Real Madrid,,,,,,,,,,,,,1,,,,1,,,
2006/2007,Newcastle,3,,,,,,,,,,,,2,1,,168,5,1,,414
2007/2008,Newcastle,29,11,,198,,,,,4,2,,176,7,3,1,157,40,16,1,187
2008/2009,Newcastle,28,8,,237,,,,,4,2,,158,,,,,32,10,,221
2009/2010,Man United,19,3,,204,6,4,,67,6,2,1,115,,,,,31,9,1,123
2010/2011,Man United,11,2,,119,2,,,,4,3,1,80,,,,,17,5,1,102
2011/2012,Man United,1,,,,1,,,,2,3,,60,,,,,4,3,,90
2012/2013,Stoke City,8,1,,101,,,,,1,,,,,,,,9,1,,153
