SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1971/1972,Joeuf,,,,,,,,,,,,,,,,,,,,
1972/1973,Nancy,5,2,2,179,,,,,,,,,,,,,5,2,2,179
1973/1974,Nancy,21,2,,908,,,,,3,,,,,,,,24,2,,1043
1974/1975,Nancy,33,17,,174,,,,,7,13,,49,,,,,40,30,,120
1975/1976,Nancy,31,22,,127,,,,,5,6,,59,2,1,,180,38,29,,115
1976/1977,Nancy,38,25,,137,,,,,1,,,,8,4,3,180,47,29,3,146
1977/1978,Nancy,36,18,,180,,,,,10,7,,129,8,5,,127,54,30,,159
1978/1979,Nancy,19,12,,137,,,,,5,3,,133,3,,,,27,15,,151
1979/1980,Saint-Étienne,33,16,5,185,7,5,,123,7,5,,126,5,4,3,100,52,30,8,154
1980/1981,Saint-Étienne,35,20,,157,7,4,,152,10,5,,178,4,3,,114,56,32,,156
1981/1982,Saint-Étienne,36,22,1,142,2,,,,8,5,,150,9,4,1,196,55,31,2,156
1982/1983,Juventus,30,18,,146,9,5,,162,13,7,,161,6,2,5,263,58,32,5,159
1983/1984,Juventus,28,20,,124,8,2,1,294,7,3,,200,9,12,3,69,52,37,4,121
1984/1985,Juventus,30,18,,146,10,7,2,125,7,4,,130,5,2,,208,52,31,2,143
1985/1986,Juventus,30,12,,225,7,4,1,153,4,1,,339,11,4,5,254,52,21,6,222
1986/1987,Juventus,29,2,,1293,4,2,,195,8,1,,585,3,,1,,44,5,1,766
1989,Unknown,,,,,,,,,,,,,1,,,,1,,,
