SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2009,Santos,33,10,,169,,,,,15,4,,257,,,,,48,14,,194
2010,Santos,31,17,,155,2,,1,,27,25,,89,2,1,,146,62,43,1,119
2011,Santos,21,13,1,145,15,7,3,187,11,4,,248,13,7,2,157,60,31,6,170
2012,Santos,17,14,7,107,14,9,4,140,16,20,,72,13,10,8,113,60,53,19,100
2013,Santos,1,,,,,,,,22,13,,153,6,3,2,165,29,16,2,161
2013/2014,FC Barcelona,26,9,8,193,10,4,3,193,5,2,,165,21,15,11,120,62,30,22,155
2014/2015,FC Barcelona,33,22,7,117,12,10,,102,6,7,,72,11,9,3,105,62,48,10,105
2015/2016,FC Barcelona,34,24,14,127,10,3,6,299,5,4,2,120,5,2,,162,54,33,22,144
2016/2017,FC Barcelona,30,13,11,204,9,4,8,199,6,3,2,173,8,6,6,116,53,26,27,179
2017/2018,Paris SG,20,19,13,94,7,6,3,105,3,3,,90,13,5,3,218,43,33,19,114
2018/2019,Paris SG,17,15,7,96,6,5,2,106,5,3,2,126,7,3,6,155,35,26,17,108
2019/2020,Paris SG,15,13,6,102,7,3,4,195,5,3,1,160,4,1,1,219,31,20,12,130
2020/2021,Paris SG,18,9,5,157,9,6,2,124,4,2,1,81,10,7,7,129,41,24,15,134
2021/2022,Paris SG,22,13,6,142,6,,2,,,,,,8,6,4,118,36,19,12,159
2022/2023,Paris SG,20,13,10,119,6,2,2,270,3,3,3,90,5,3,3,143,34,21,18,132
2023/2024,Al Hilal,3,,2,,2,1,,180,,,,,4,2,3,159,9,3,5,235
2024/2025,Al Hilal,,,,,2,,,,,,,,,,,,2,,,
2025,Santos,4,,,,,,,,8,3,3,176,,,,,12,3,3,236
