SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1969,Dynamo Kyiv,1,,,,,,,,,,,,,,,,1,,,
1970,Dynamo Kyiv,,,,,,,,,1,,,,,,,,1,,,
1971,Dynamo Kyiv,1,,,,,,,,,,,,,,,,1,,,
1972,Dynamo Kyiv,27,14,,146,4,1,,345,2,,,,3,2,,90,36,17,,153
1973,Dynamo Kyiv,29,18,,131,7,1,,621,8,4,,175,10,1,,881,54,24,,190
1974,Dynamo Kyiv,29,20,,122,4,3,,120,4,3,,130,3,,,,40,26,,133
1975,Dynamo Kyiv,28,18,1,137,11,6,2,165,,,,,3,2,,135,42,26,3,143
1976,Dynamo Kyiv,19,8,1,207,6,3,,190,1,,,,2,,,,28,11,1,222
1977,Dynamo Kyiv,29,17,2,151,6,,,,3,2,,135,2,,,,40,19,2,188
1978,Dynamo Kyiv,26,13,,174,4,,,,8,4,,188,1,,,,39,17,,204
1979,Dynamo Kyiv,24,17,1,120,4,1,,284,6,1,,495,2,,,,36,19,1,158
1980,Dynamo Kyiv,33,19,,154,2,,,,7,3,,201,1,,,,43,22,,172
1981,Dynamo Kyiv,29,19,1,136,4,1,,360,7,3,,185,6,5,,102,46,28,1,144
1982,Dynamo Kyiv,24,10,1,205,4,,,,3,,,,5,1,1,450,36,11,2,283
1983,Dynamo Kyiv,31,10,,254,4,,,,1,,,,6,3,,171,42,13,,266
1984,Dynamo Kyiv,30,10,,259,,,,,3,1,,330,1,,,,34,11,,274
1985,Dynamo Kyiv,29,12,,200,4,1,,302,5,2,,217,2,,,,40,15,,218
1986,Dynamo Kyiv,23,2,,857,8,6,,114,2,2,,79,5,2,,130,38,12,,235
1987,Dynamo Kyiv,20,4,,385,7,3,,195,6,4,,104,1,,,,34,11,,233
1987/1988,Vorwärts Steyr,,,,,,,,,13,5,,234,,,,,13,5,,234
1988/1989,Vorwärts Steyr,18,1,,1528,,,,,11,3,,322,,,,,29,4,,624
1989/1990,Aris Limassol,,,,,,,,,,,,,,,,,,,,
