SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1954,River Plate,16,8,,180,,,,,,,,,,,,,16,8,,180
1955,River Plate,23,10,,207,,,,,,,,,,,,,23,10,,207
1956,River Plate,23,10,,207,,,,,,,,,12,6,,121,35,16,,175
1957,River Plate,1,,,,,,,,,,,,6,3,,172,7,3,,202
1957/1958,Juventus,32,22,,131,,,,,5,6,,75,,,,,37,28,,119
1958/1959,Juventus,24,15,,142,2,3,,60,6,8,,79,,,,,32,26,,113
1959/1960,Juventus,31,28,,99,,,,,4,3,,120,,,,,35,31,,101
1960/1961,Juventus,27,25,,97,1,1,,90,1,2,,45,3,4,,68,32,32,,90
1961/1962,Juventus,25,13,,171,5,2,,225,,,,,6,4,,135,36,19,,169
1962/1963,Juventus,33,16,,186,,,,,4,2,,180,,,,,37,18,,185
1963/1964,Juventus,28,13,,194,4,,,,2,1,,180,,,,,34,14,,219
1964/1965,Juventus,15,3,,450,3,2,,150,1,1,,120,,,,,19,6,,295
1965/1966,Napoli,33,7,,424,,,,,1,,,,,,,,34,7,,437
1966/1967,Napoli,20,2,,892,5,3,,150,,,,,,,,,25,5,,447
1967/1968,Napoli,7,2,,315,,,,,,,,,,,,,7,2,,315
1968/1969,Napoli,3,1,,270,2,,,,,,,,,,,,5,1,,405
