SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1984/1985,AC Milan,1,,,,,,,,,,,,,,,,1,,,
1985/1986,AC Milan,27,,,,6,,,,7,,,,,,,,40,,,
1986/1987,AC Milan,29,1,,2610,,,,,8,,,,,,,,37,1,,3327
1987/1988,AC Milan,26,2,,1159,2,,,,1,,,,8,,,,37,2,,1590
1988/1989,AC Milan,26,,,,7,,,,7,,,,7,,,,47,,,
1989/1990,AC Milan,30,1,,2655,11,,,,6,,,,12,,,,59,1,,5265
1990/1991,AC Milan,26,4,1,563,6,,,,3,,,,6,,,,41,4,1,898
1991/1992,AC Milan,31,3,2,915,,,,,7,1,,630,8,,,,46,4,2,1015
1992/1993,AC Milan,31,2,,1389,10,1,,900,9,,,,7,2,3,315,57,5,3,1010
1993/1994,AC Milan,30,1,1,2700,13,1,,1152,3,,,,11,,,,57,2,1,2564
1994/1995,AC Milan,29,2,,1285,13,,1,,1,,,,6,,,,49,2,1,2129
1995/1996,AC Milan,30,3,,863,8,,,,3,,,,7,1,,566,48,4,,1036
1996/1997,AC Milan,26,1,,2215,6,,,,4,,,,10,2,,449,46,3,,1338
1997/1998,AC Milan,30,,1,,,,,,7,,,,12,1,,1021,49,1,1,4180
1998/1999,AC Milan,31,1,,2745,,,,,2,,1,,9,1,1,784,42,2,2,1855
1999/2000,AC Milan,27,1,1,2414,6,,,,5,,,,9,,,,47,1,1,4116
2000/2001,AC Milan,31,1,2,2790,14,,,,4,,1,,8,,,,57,1,3,5075
2001/2002,AC Milan,15,,,,4,,,,,,,,7,,,,26,,,
2002/2003,AC Milan,29,2,1,1244,19,,,,1,,,,,,,,49,2,1,2123
2003/2004,AC Milan,30,,,,11,,,,1,,,,,,,,42,,,
2004/2005,AC Milan,33,,,,13,1,,1138,1,,1,,,,,,47,1,1,4131
2005/2006,AC Milan,14,2,,571,9,,1,,,,,,,,,,23,2,1,844
2006/2007,AC Milan,18,1,,1399,9,,1,,,,,,,,,,27,1,1,2194
2007/2008,AC Milan,17,1,,1305,6,,,,,,,,,,,,23,1,,1643
2008/2009,AC Milan,30,,,,2,,1,,,,,,,,,,32,,1,
